target_name_norm,target_display_name,target_event_uid,target_times_n,topk_rows_n,unique_history_storms_n,unique_history_events_n,rank1_mean_distance,rank1_mean_similarity
KONGREY,KONG-REY,CH2024_0023,421,8420,47,49,1.3001888439660967,0.8073266975234811
MANYI,MAN-YI,CH2024_0026,553,11060,31,35,1.5599925385461362,0.7723123468050551
