feature,median,q1,q3,iqr,std,scale,missing_rate,min,max
track_wind,20.0,15.0,31.49999999998383,16.49999999998383,13.809735437992199,16.49999999998383,0.0,10.0,75.0
track_pressure,993.2499999999948,976.166666666692,999.6666666666774,23.499999999985448,23.674439670303872,23.499999999985448,0.0,888.0,1012.0
pressure_deficit,-9.881560442843352,-16.29822710952601,7.201772890459438,23.499999999985448,23.674439670303872,23.499999999985448,0.0,-28.63156044284858,95.36843955715142
intensity_index,-0.4346095743445267,-0.7212404030073725,0.3607886719035037,1.082029074910876,0.9961157583227928,1.082029074910876,0.0,-1.1557099999258504,3.774320742772721
track_wind_change_rate,0.0,0.0,0.3333333333009989,0.3333333333009989,0.5396841585814954,0.3333333333009989,0.003291442250149611,-5.000000000107796,2.333333333383635
track_pressure_change_rate,0.0,-0.3333333333405335,0.0,0.3333333333405335,0.9337999514223975,0.3333333333405335,0.003291442250149611,-5.000000000107775,10.000000000431328
is_intensifying_wind,0.0,0.0,1.0,1.0,0.44189112456658275,1.0,0.0,0.0,1.0
is_weakening_wind,0.0,0.0,0.0,0.0,0.41065608775979456,0.41065608775979456,0.0,0.0,1.0
is_intensifying_pressure,0.0,0.0,1.0,1.0,0.44805330248517333,1.0,0.0,0.0,1.0
is_weakening_pressure,0.0,0.0,0.0,0.0,0.4185015711551648,0.4185015711551648,0.0,0.0,1.0
track_move_dir_sin,-0.7432480199402912,-0.9425449544034925,0.0,0.9425449544034925,0.6734759175798631,0.9425449544034925,0.003291442250149611,-0.9999999997966482,0.999999999117034
track_move_dir_cos,0.4853757497853811,0.19871162005516949,0.8002020598084125,0.601490439753243,0.44115143408887875,0.601490439753243,0.003291442250149611,-1.0,1.0
track_move_speed_kmh,18.166347689135076,11.6173090511593,25.263922574437117,13.646613523277818,11.743637938683053,13.646613523277818,0.003291442250149611,0.0,116.22825004994688
track_is_land,0.0,0.0,0.0,0.0,0.33919586786124084,0.33919586786124084,0.0,0.0,1.0
track_coast_dist_km,193.51269918091913,72.80952290510437,386.7836510799666,313.97412817486224,277.924997152237,313.97412817486224,0.0,0.0327445476564882,2295.3127509156125
track_signed_coast_dist_km,167.6563347760482,45.890086560034035,368.2501559295594,322.3600693695254,313.9427013268439,322.3600693695254,0.0,-810.632426740209,2295.3127509156125
is_near_coast_100km,0.0,0.0,1.0,1.0,0.46800610170848994,1.0,0.0,0.0,1.0
is_near_coast_200km,1.0,0.0,1.0,1.0,0.4999057861927293,1.0,0.0,0.0,1.0
is_offshore_far_300km,0.0,0.0,1.0,1.0,0.46765620439397965,1.0,0.0,0.0,1.0
is_inland_100km,0.0,0.0,0.0,0.0,0.23474234784341755,0.23474234784341755,0.0,0.0,1.0
coast_influence_exp,0.3800200394194849,0.14458058368147153,0.699774928296116,0.5551943446146445,0.3076703001494537,0.5551943446146445,0.0,1.0370308835070028e-05,0.9999622615007372
month_sin,-0.8660254037844384,-0.8660254037844386,-0.4999999999999998,0.3660254037844388,0.43734909381520776,0.3660254037844388,0.0,-1.0,1.0
month_cos,-0.5000000000000004,-0.8660254037844387,0.5000000000000001,1.3660254037844388,0.5934181810192718,1.3660254037844388,0.0,-1.0,1.0
hour_sin,1.2246467991473532e-16,-0.7071067811865471,0.7071067811865476,1.4142135623730947,0.706880983780327,1.4142135623730947,0.0,-1.0,1.0
hour_cos,6.123233995736766e-17,-0.7071067811865475,0.7071067811865476,1.414213562373095,0.7073500201388658,1.414213562373095,0.0,-1.0,1.0
