,rain_max,rain_p95,rain_area_10_km2,rain_area_10_equiv_radius_km,centroid_offset_km,anisotropy,rainband_width_km
track_wind,0.18520614374598016,0.2539728256415589,0.35197946181769757,0.35197946181769757,-0.20979106142617193,-0.025456397475373906,-0.18754454820747668
track_pressure,-0.1745610357716456,-0.27392964162538685,-0.3496212161655174,-0.3496212161655174,0.1971381645774857,0.02243262296637426,0.18905926796265277
pressure_deficit,0.1745610357716456,0.27392964162538685,0.3496212161655174,0.3496212161655174,-0.1971381645774857,-0.02243262296637426,-0.18905926796265277
intensity_index,0.18496436796490084,0.2712802077368416,0.3583081518994219,0.3583081518994219,-0.20650554713378824,-0.027451712278756507,-0.18983010851335463
track_move_speed_kmh,-0.07925863501237763,0.030443544512147494,-0.029673661405860682,-0.029673661405860682,0.07401825282349467,-0.026287356291690978,-0.057001417135306424
track_move_dir_sin,-0.17406401843093627,-0.15817559921532556,-0.19929321288145913,-0.19929321288145913,0.16973530549986407,0.21467224627932224,-0.22389349508224185
track_move_dir_cos,0.005186732203846862,0.06765662863331301,0.04025595658463722,0.04025595658463722,0.017005643449756948,0.11632365200983975,-0.11522403876134081
track_wind_change_rate,0.1369861610455807,0.13785510723112945,0.1907849563384987,0.1907849563384987,-0.1481413210221991,-0.08317346569160532,0.055704226679756025
track_pressure_change_rate,-0.14032600645923146,-0.15705850290946094,-0.1987019000117232,-0.1987019000117232,0.15576502008373713,0.08942754913892816,-0.061549333360939866
is_intensifying_wind,0.1391694248508958,0.15356642348635657,0.20493442981293541,0.20493442981293541,-0.17127002946898295,-0.08704211258242221,0.028730079644863894
is_weakening_wind,-0.09890423916179954,-0.06834197154697312,-0.10486910532167909,-0.10486910532167909,0.07647248065421863,0.05115000867470572,-0.06816367917514053
is_intensifying_pressure,0.13000884196961338,0.16141277323762526,0.20225818911915078,0.20225818911915078,-0.16826917664906466,-0.08694243316085846,0.02403344572650629
is_weakening_pressure,-0.12203821780151758,-0.10721674694441474,-0.13483561582983764,-0.13483561582983764,0.1001492764822825,0.0669532102929581,-0.08433547895483061
track_is_land,-0.06777328010338854,-0.045285577612987654,-0.13782120585077498,-0.13782120585077498,0.07118883765817506,0.015384539123770863,0.06111720099481074
track_coast_dist_km,-0.03914191426140312,-0.07716873487252521,-0.007492722217840239,-0.007492722217840239,-0.04553144135160998,0.022521087518730516,-0.04973016330448073
track_signed_coast_dist_km,0.014717503445954532,-0.03825074565199953,0.07108706750508079,0.07108706750508079,-0.06800575361425426,-0.0021831933970318427,-0.06938895906979532
is_near_coast_100km,0.02917979006392197,0.04347388966939777,-0.007806634029573428,-0.007806634029573428,0.0570589612105257,-0.016565549120434245,0.041327723671390225
is_near_coast_200km,0.022908177575370316,0.06036338031577871,-0.0024372722266072424,-0.0024372722266072424,0.04290200657410091,-0.023129510211846255,0.056238802978320235
is_offshore_far_300km,0.0040348873143585115,-0.04847921617578107,0.03201027554231517,0.03201027554231517,-0.03713222475923398,-0.0069545467705546616,-0.04207228716610395
is_inland_100km,-0.07729951579165169,-0.0463254677797734,-0.12624972060401374,-0.12624972060401374,0.03669816521703321,0.042627750838325616,0.036894428567319136
coast_influence_exp,0.037840796679102055,0.07846469473981696,0.007525328684828372,0.007525328684828372,0.04739711349972061,-0.02334304274663508,0.048339213764237415
landfrac_200km,-0.048305054603924924,-0.017543668066001987,-0.12658346205403617,-0.12658346205403617,0.08944647570487722,0.016294309090756902,0.047797878918693394
landfrac_500km,-0.06084575252197556,-0.016715164808214705,-0.13933113145658635,-0.13933113145658635,0.09456541493732366,0.024629086918035392,0.05106113943930409
terrain_mean_300km,-0.005297393201530444,0.0003326200180698393,-0.057513974263624014,-0.057513974263624014,0.04251796150329879,0.058594183854979574,-0.0055253975560304045
terrain_max_300km,-0.006588185980649298,0.002774118765673831,-0.06228577131283184,-0.06228577131283184,0.04990944221124564,0.05716934606987811,0.00547192323238687
terrain_std_300km,-0.002210097322790668,0.002854275878985002,-0.05529997865301236,-0.05529997865301236,0.04198972634005625,0.05089005839074465,0.005175902179346433
hour_sin,-0.06963809854183686,0.013433335000186583,-0.05588394433720134,-0.05588394433720134,-0.030781000919419182,0.010128256053529369,0.024761768682882632
hour_cos,-0.044961373352427475,0.017760969066507228,0.03411896181570975,0.03411896181570975,0.019082145437941966,0.0452787912295687,-0.07943821609026154
month_sin,0.0032040897151782628,-0.03778280857851078,-0.028286237948833916,-0.028286237948833916,0.0544499235794974,-0.11793655262229365,0.1558433428279842
month_cos,-0.03845930638516148,-0.07026714936224948,-0.015507223679787652,-0.015507223679787652,-0.10939026998363895,0.09209440283026987,-0.20401209349823657
interp_center_error_km,0.03198171569652532,0.02974039774542734,0.04189612648868748,0.04189612648868748,-0.026921751610200405,-0.012995906997902231,0.011899438588956427
