env_feature,rain_feature,spearman_corr,abs_corr
terrain_mean_300km,anisotropy,0.058594183854979574,0.058594183854979574
terrain_max_300km,anisotropy,0.05716934606987811,0.05716934606987811
terrain_std_300km,anisotropy,0.05089005839074465,0.05089005839074465
landfrac_500km,anisotropy,0.024629086918035392,0.024629086918035392
landfrac_200km,anisotropy,0.016294309090756902,0.016294309090756902
landfrac_500km,centroid_offset_km,0.09456541493732366,0.09456541493732366
landfrac_200km,centroid_offset_km,0.08944647570487722,0.08944647570487722
terrain_max_300km,centroid_offset_km,0.04990944221124564,0.04990944221124564
terrain_mean_300km,centroid_offset_km,0.04251796150329879,0.04251796150329879
terrain_std_300km,centroid_offset_km,0.04198972634005625,0.04198972634005625
landfrac_500km,rain_area_10_equiv_radius_km,-0.13933113145658635,0.13933113145658635
landfrac_200km,rain_area_10_equiv_radius_km,-0.12658346205403617,0.12658346205403617
terrain_max_300km,rain_area_10_equiv_radius_km,-0.06228577131283184,0.06228577131283184
terrain_mean_300km,rain_area_10_equiv_radius_km,-0.057513974263624014,0.057513974263624014
terrain_std_300km,rain_area_10_equiv_radius_km,-0.05529997865301236,0.05529997865301236
landfrac_500km,rain_area_10_km2,-0.13933113145658635,0.13933113145658635
landfrac_200km,rain_area_10_km2,-0.12658346205403617,0.12658346205403617
terrain_max_300km,rain_area_10_km2,-0.06228577131283184,0.06228577131283184
terrain_mean_300km,rain_area_10_km2,-0.057513974263624014,0.057513974263624014
terrain_std_300km,rain_area_10_km2,-0.05529997865301236,0.05529997865301236
landfrac_500km,rain_max,-0.06084575252197556,0.06084575252197556
landfrac_200km,rain_max,-0.048305054603924924,0.048305054603924924
terrain_max_300km,rain_max,-0.006588185980649298,0.006588185980649298
terrain_mean_300km,rain_max,-0.005297393201530444,0.005297393201530444
terrain_std_300km,rain_max,-0.002210097322790668,0.002210097322790668
landfrac_200km,rain_p95,-0.017543668066001987,0.017543668066001987
landfrac_500km,rain_p95,-0.016715164808214705,0.016715164808214705
terrain_std_300km,rain_p95,0.002854275878985002,0.002854275878985002
terrain_max_300km,rain_p95,0.002774118765673831,0.002774118765673831
terrain_mean_300km,rain_p95,0.0003326200180698393,0.0003326200180698393
landfrac_500km,rainband_width_km,0.05106113943930409,0.05106113943930409
landfrac_200km,rainband_width_km,0.047797878918693394,0.047797878918693394
terrain_mean_300km,rainband_width_km,-0.0055253975560304045,0.0055253975560304045
terrain_max_300km,rainband_width_km,0.00547192323238687,0.00547192323238687
terrain_std_300km,rainband_width_km,0.005175902179346433,0.005175902179346433
