target,feature,importance_mean,importance_std,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse
rain_p95,track_move_dir_sin,0.2790434130979961,0.00837149789288568,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,month_cos,0.24982639709274057,0.003780025257767901,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,intensity_index,0.2266766325783096,0.007070783767034065,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,track_move_dir_cos,0.17417818340996685,0.005417267445356759,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,track_pressure,0.13747898570768727,0.0025259177471271812,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,track_move_speed_kmh,0.12725477956426523,0.0031414576085659804,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,month_sin,0.11580423440411995,0.0032245283366733103,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,pressure_deficit,0.10672464465619233,0.0021911253226710127,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,landfrac_500km,0.10033325103873732,0.0031116870390477877,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,track_wind,0.06656277007152678,0.0031841339466375596,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,track_pressure_change_rate,0.04047168718534452,0.0025348145690112533,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,track_signed_coast_dist_km,0.038128383643503835,0.0011685592684148511,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,coast_influence_exp,0.029080065198270798,0.0008604637778948501,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,track_coast_dist_km,0.028012797536614988,0.0011969531357461426,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,landfrac_200km,0.020723762009169856,0.0005153932872407279,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,terrain_std_300km,0.018683395480184807,0.0010418215667236967,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,terrain_mean_300km,0.016511767482014394,0.0005383083174774631,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,is_weakening_pressure,0.016503390459514766,0.00176053828422064,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,terrain_max_300km,0.009441208509758015,0.0004920349472538513,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,hour_cos,0.007109176164182518,0.00061294879119085,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,hour_sin,0.006861166432406252,0.0004511167050962908,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,track_wind_change_rate,0.004358138508922615,0.0002765047203458438,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,is_intensifying_pressure,0.0015033909701844927,7.548663155463692e-05,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,is_weakening_wind,0.0012565512248400522,0.00015904764370381258,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,is_intensifying_wind,0.0008144035191252397,7.407297196099093e-05,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,interp_center_error_km,0.0003084742136981844,3.607930516630656e-05,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,is_near_coast_200km,7.950088431509794e-05,1.1008411363582953e-05,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,is_near_coast_100km,6.347553185114263e-05,6.461077415803409e-06,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,is_offshore_far_300km,6.222022280696348e-05,1.295074170440322e-05,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,is_inland_100km,3.361059207434014e-05,4.290465174192808e-06,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
rain_p95,track_is_land,1.7612035979364114e-05,3.7459098783986713e-06,0.7121444033015337,0.6656551942991564,0.5462420191907039,0.5808945692322682,0.7499036507734054,0.7983302578245792
