target,feature,importance_mean,importance_std,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse
rain_area_10_km2,track_move_dir_sin,0.263287098421666,0.008336142696427946,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_wind,0.21270195334060243,0.006876529651172917,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,landfrac_500km,0.17164791491199657,0.004783299291361897,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,pressure_deficit,0.14377595522178602,0.004024339109465266,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_move_dir_cos,0.13970031054960938,0.006196427088791783,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,month_cos,0.13511828679752283,0.002662469222482977,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_pressure,0.12178393700190963,0.003754191084172788,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_move_speed_kmh,0.10479973963949736,0.0022253815602638863,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,intensity_index,0.09374441614874325,0.002926850326410728,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_pressure_change_rate,0.07406278103524307,0.0033603926827696245,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,month_sin,0.050651379490485135,0.0016902057818213103,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,hour_sin,0.03556630333183873,0.0016844827317492874,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,coast_influence_exp,0.029037679625935377,0.001255292177830206,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_signed_coast_dist_km,0.028078953611722544,0.0010740900200770082,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,terrain_std_300km,0.026496560372006317,0.002404856350582958,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_coast_dist_km,0.021006441803323672,0.0009152535803174851,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,landfrac_200km,0.017101919473325365,0.00072916517699807,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,terrain_mean_300km,0.016019602896383423,0.0008519086731391414,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,hour_cos,0.014828904412757216,0.0007148602760165499,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_wind_change_rate,0.013246188222739697,0.0003432307127009496,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,is_weakening_pressure,0.011213576480590015,0.0012310880112028986,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,terrain_max_300km,0.0049545915215532975,0.00011232260097056339,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,is_intensifying_wind,0.0030040055303619416,0.00019309982471640244,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,is_weakening_wind,0.0020441748232074785,0.00018737299861184935,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,is_intensifying_pressure,0.0015311933628941675,9.822730381584381e-05,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,interp_center_error_km,0.0007655175822012583,0.00014799786034249885,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,is_offshore_far_300km,8.1374252353128e-05,1.8271667279157593e-05,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,is_near_coast_200km,8.054541001581983e-05,1.3576578753623663e-05,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,is_near_coast_100km,7.155009055720418e-05,1.0920650692629299e-05,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_is_land,9.525086327388798e-06,2.0789530865373795e-06,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,is_inland_100km,-1.8883803193037175e-06,1.1698826060617737e-06,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
