,rain_max,rain_p95,rain_area_10_km2,rain_area_10_equiv_radius_km,centroid_offset_km,anisotropy,rainband_width_km
landfrac_200km,-0.048305054603924924,-0.017543668066001987,-0.12658346205403617,-0.12658346205403617,0.08944647570487722,0.016294309090756902,0.047797878918693394
landfrac_500km,-0.06084575252197556,-0.016715164808214705,-0.13933113145658635,-0.13933113145658635,0.09456541493732366,0.024629086918035392,0.05106113943930409
terrain_mean_300km,-0.005297393201530444,0.0003326200180698393,-0.057513974263624014,-0.057513974263624014,0.04251796150329879,0.058594183854979574,-0.0055253975560304045
terrain_max_300km,-0.006588185980649298,0.002774118765673831,-0.06228577131283184,-0.06228577131283184,0.04990944221124564,0.05716934606987811,0.00547192323238687
terrain_std_300km,-0.002210097322790668,0.002854275878985002,-0.05529997865301236,-0.05529997865301236,0.04198972634005625,0.05089005839074465,0.005175902179346433
