rain_feature,typhoon_factor,spearman_corr,abs_corr
anisotropy,track_move_dir_sin,0.21467224627932224,0.21467224627932224
anisotropy,month_sin,-0.11793655262229365,0.11793655262229365
anisotropy,track_move_dir_cos,0.11632365200983975,0.11632365200983975
anisotropy,month_cos,0.09209440283026987,0.09209440283026987
anisotropy,track_pressure_change_rate,0.08942754913892816,0.08942754913892816
centroid_offset_km,track_wind,-0.20979106142617193,0.20979106142617193
centroid_offset_km,intensity_index,-0.20650554713378824,0.20650554713378824
centroid_offset_km,track_pressure,0.1971381645774857,0.1971381645774857
centroid_offset_km,pressure_deficit,-0.1971381645774857,0.1971381645774857
centroid_offset_km,is_intensifying_wind,-0.17127002946898295,0.17127002946898295
rain_area_10_equiv_radius_km,intensity_index,0.3583081518994219,0.3583081518994219
rain_area_10_equiv_radius_km,track_wind,0.35197946181769757,0.35197946181769757
rain_area_10_equiv_radius_km,track_pressure,-0.3496212161655174,0.3496212161655174
rain_area_10_equiv_radius_km,pressure_deficit,0.3496212161655174,0.3496212161655174
rain_area_10_equiv_radius_km,is_intensifying_wind,0.20493442981293541,0.20493442981293541
rain_area_10_km2,intensity_index,0.3583081518994219,0.3583081518994219
rain_area_10_km2,track_wind,0.35197946181769757,0.35197946181769757
rain_area_10_km2,track_pressure,-0.3496212161655174,0.3496212161655174
rain_area_10_km2,pressure_deficit,0.3496212161655174,0.3496212161655174
rain_area_10_km2,is_intensifying_wind,0.20493442981293541,0.20493442981293541
rain_max,track_wind,0.18520614374598016,0.18520614374598016
rain_max,intensity_index,0.18496436796490084,0.18496436796490084
rain_max,track_pressure,-0.1745610357716456,0.1745610357716456
rain_max,pressure_deficit,0.1745610357716456,0.1745610357716456
rain_max,track_move_dir_sin,-0.17406401843093627,0.17406401843093627
rain_p95,track_pressure,-0.27392964162538685,0.27392964162538685
rain_p95,pressure_deficit,0.27392964162538685,0.27392964162538685
rain_p95,intensity_index,0.2712802077368416,0.2712802077368416
rain_p95,track_wind,0.2539728256415589,0.2539728256415589
rain_p95,is_intensifying_pressure,0.16141277323762526,0.16141277323762526
rainband_width_km,track_move_dir_sin,-0.22389349508224185,0.22389349508224185
rainband_width_km,month_cos,-0.20401209349823657,0.20401209349823657
rainband_width_km,intensity_index,-0.18983010851335463,0.18983010851335463
rainband_width_km,track_pressure,0.18905926796265277,0.18905926796265277
rainband_width_km,pressure_deficit,-0.18905926796265277,0.18905926796265277
