metric,n_valid,mean,median,q25,q75,min,max
rainband_width_km,33310,1149.374160739681,1117.9568376608822,867.7662794977332,1402.3105390905366,220.73362008156923,2718.750898739176
rainband_length_km,33310,1978.8065401343795,1952.71643622781,1623.8613240317452,2312.105206180924,311.84095971682586,4126.549823666469
rainband_aspect_ratio,33310,1.848988498275951,1.670282920193472,1.389213404271132,2.1153903692113594,1.002166483538677,7.584954198343187
rainband_width10_km,32568,675.5876703257829,602.1029834293984,398.67762701941876,890.7788318502937,8.121557418238291,2674.875152308044
rainband_length10_km,32568,1552.9336784334253,1484.9690590806158,1025.0297359303743,2029.6403670604866,22.27906079684891,5111.329699009182
rainband_aspect_ratio10,32568,2.9849949975571737,2.2132399287373183,1.6382449770861984,3.2014424448617804,1.0034357582270543,298.2839259253
