target,feature,importance_mean,importance_std,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse
anisotropy,track_move_dir_sin,0.44521633711703323,0.006385847593411415,0.6979150799706682,0.6402379464132355,0.053876880453229324,0.0589525435516585,0.06867645340757302,0.07455396619825044
anisotropy,month_cos,0.2694770653844,0.006499034962748837,0.6979150799706682,0.6402379464132355,0.053876880453229324,0.0589525435516585,0.06867645340757302,0.07455396619825044
anisotropy,track_move_speed_kmh,0.22990432955932572,0.004796965569626566,0.6979150799706682,0.6402379464132355,0.053876880453229324,0.0589525435516585,0.06867645340757302,0.07455396619825044
anisotropy,track_move_dir_cos,0.14865571145095163,0.00267911691477068,0.6979150799706682,0.6402379464132355,0.053876880453229324,0.0589525435516585,0.06867645340757302,0.07455396619825044
anisotropy,terrain_std_300km,0.12022477368279957,0.0032655810667464,0.6979150799706682,0.6402379464132355,0.053876880453229324,0.0589525435516585,0.06867645340757302,0.07455396619825044
centroid_offset_km,track_move_dir_sin,0.2934843337212598,0.006988547239424084,0.7194839097324734,0.6836412611578471,59.331383985145344,64.07956408447727,77.79993114146747,82.51659210166598
centroid_offset_km,track_move_speed_kmh,0.20285473051751488,0.006549990437064941,0.7194839097324734,0.6836412611578471,59.331383985145344,64.07956408447727,77.79993114146747,82.51659210166598
centroid_offset_km,intensity_index,0.19595045034410327,0.004185383314539293,0.7194839097324734,0.6836412611578471,59.331383985145344,64.07956408447727,77.79993114146747,82.51659210166598
centroid_offset_km,month_cos,0.18940364442531016,0.0059218987686194555,0.7194839097324734,0.6836412611578471,59.331383985145344,64.07956408447727,77.79993114146747,82.51659210166598
centroid_offset_km,track_move_dir_cos,0.1528740165941285,0.003852010688753804,0.7194839097324734,0.6836412611578471,59.331383985145344,64.07956408447727,77.79993114146747,82.51659210166598
rain_area_10_equiv_radius_km,track_wind,0.33022607124830816,0.009726126341226929,0.7257997379450607,0.6649533546003845,18.16563327989399,19.770718586789073,23.698281683277663,25.86850316487595
rain_area_10_equiv_radius_km,track_move_dir_sin,0.31665233650745195,0.008376510334920283,0.7257997379450607,0.6649533546003845,18.16563327989399,19.770718586789073,23.698281683277663,25.86850316487595
rain_area_10_equiv_radius_km,landfrac_500km,0.15995781215503863,0.003928655516004722,0.7257997379450607,0.6649533546003845,18.16563327989399,19.770718586789073,23.698281683277663,25.86850316487595
rain_area_10_equiv_radius_km,month_cos,0.13112601444019614,0.0022226225538748206,0.7257997379450607,0.6649533546003845,18.16563327989399,19.770718586789073,23.698281683277663,25.86850316487595
rain_area_10_equiv_radius_km,pressure_deficit,0.12111855465923596,0.0028773717588317167,0.7257997379450607,0.6649533546003845,18.16563327989399,19.770718586789073,23.698281683277663,25.86850316487595
rain_area_10_km2,track_move_dir_sin,0.263287098421666,0.008336142696427946,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,track_wind,0.21270195334060243,0.006876529651172917,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
rain_area_10_km2,landfrac_500km,0.17164791491199657,0.004783299291361897,0.6762680437951961,0.613784593588271,12807.204234455054,13848.991253063326,18236.16354278309,19888.43665396826
