move_speed_group,rain_front_ratio,rain_back_ratio,rain_left_ratio,rain_right_ratio,rain_front_back_asym,rain_left_right_asym,rain_front_left_ratio,rain_front_right_ratio,rain_back_left_ratio,rain_back_right_ratio,rain_front_area_10_grid,rain_back_area_10_grid,rain_left_area_10_grid,rain_right_area_10_grid,rain_front_area_10_km2,rain_back_area_10_km2,rain_left_area_10_km2,rain_right_area_10_km2,rainband_angle_to_motion_deg
fast,0.5991293496668321,0.400870650333168,0.602082967471626,0.39791703252837396,0.19825869933366408,0.20416593494325208,0.3239740995790864,0.1970772388756369,0.209920835330696,0.14328125891138987,163.0,78.0,159.0,92.0,18238.118089576077,8791.223456342379,17753.035568866337,10249.063852944397,41.45714178188956
middle,0.5029059765948384,0.4970940234051616,0.5705032800990092,0.4294967199009908,0.005811953189676796,0.14100656019801838,0.26050104488169745,0.18918291840429785,0.24448084654604452,0.20541726747359199,151.0,124.0,164.0,109.0,17385.7337457785,14156.624996013801,18968.04827826133,12548.0853343612,45.344163058501294
slow,0.49831655454008755,0.5016834454599124,0.5320325976489051,0.4679674023510949,-0.0033668909198248742,0.0640651952978101,0.23940921733287296,0.2000686581529555,0.2392055664870067,0.2155492172540066,138.0,119.0,142.0,105.0,15929.299933858378,13879.128570121575,16416.45344759235,12169.387317678455,47.24343682083746
