track_intensity,rain_front_ratio,rain_back_ratio,rain_left_ratio,rain_right_ratio,rain_front_back_asym,rain_left_right_asym,rain_front_left_ratio,rain_front_right_ratio,rain_back_left_ratio,rain_back_right_ratio,rain_front_area_10_grid,rain_back_area_10_grid,rain_left_area_10_grid,rain_right_area_10_grid,rain_front_area_10_km2,rain_back_area_10_km2,rain_left_area_10_km2,rain_right_area_10_km2,rainband_angle_to_motion_deg
0,0.6045208498057727,0.39547915019422736,0.5105616901804634,0.4894383098195367,0.2090416996115453,0.021123380360926675,0.2410562833126486,0.24317652183203678,0.18390389024272225,0.16025680705746076,103.0,41.0,54.0,86.0,11226.660560976565,4423.200716761062,5830.049065604442,9145.954773539022,24.5206414554913
1,0.5372446618331816,0.4627553381668184,0.576550021795269,0.42344997820473096,0.07448932366636321,0.15310004359053808,0.2756897898161891,0.20025330616121817,0.221242214234244,0.18219082012288046,115.0,72.0,116.0,77.0,13258.291153380806,8362.28578445776,13405.674300618814,8895.500291594786,39.09357982792156
2,0.5154589907061373,0.4845410092938626,0.5899926728053602,0.41000732719463984,0.030917981412274732,0.1799853456107203,0.2811306313477439,0.1682725771863243,0.23842893940674065,0.19589805047317133,157.0,105.0,170.0,93.0,17740.50174858164,12007.627693089831,19388.399966717872,10571.143718421508,42.798172592577714
3,0.5236324479602255,0.47636755203977454,0.5785437694054261,0.421456230594574,0.047264895920450974,0.15708753881085202,0.26476610241307047,0.19381837120678058,0.2543874623470431,0.1898477401636482,179.0,134.0,190.0,115.0,20381.77878549241,15384.417694922433,21745.853453067575,13199.33219033453,47.09145523806933
4,0.4975185306894873,0.5024814693105126,0.5747342037070954,0.4252657962929046,-0.0049629386210253345,0.1494684074141908,0.24555268520641205,0.17999430756499163,0.2524326039834916,0.20217725100076916,199.0,171.0,223.0,139.0,23112.428765375997,19969.565642157566,25792.4313644268,16203.364126178567,54.995712353457236
5,0.48334505398031247,0.5166549460196875,0.5232125474585925,0.47678745254140753,-0.03330989203937503,0.0464250949171849,0.23700051575204345,0.2096057490832422,0.23782105863096203,0.21206720542440557,181.0,169.0,200.0,155.0,20949.551617384128,19403.328107712365,22911.552165258294,17690.228794355804,46.19935823276262
6,0.4625558968986093,0.5374441031013906,0.5394507427634498,0.46054925723655016,-0.07488820620278128,0.07890148552689963,0.23342605913223152,0.19307783476649087,0.29238454762433197,0.23639136736806518,214.0,228.0,249.0,196.0,24879.97981589585,26449.434594845814,29155.417195769547,22806.56194765841,62.70398417200914
9,0.8198499576486127,0.18015004235138726,0.5671301358592624,0.43286986414073764,0.6396999152972255,0.13426027171852475,0.4493796550804039,0.3243371838228346,0.07183339583216382,0.060434068836693784,35.0,1.0,15.0,10.0,3202.3746489773753,98.12961564400122,1372.7815359866865,924.0502329304916,46.21155332331725
