target,feature,importance_mean,importance_std,train_r2,test_r2
anisotropy,track_move_dir_deg,0.5742058777986387,0.0069884847213374,0.5732472629873357,0.5331758160278972
anisotropy,track_move_speed_kmh,0.2619185113715815,0.0047565798239298,0.5732472629873357,0.5331758160278972
anisotropy,track_pressure,0.2443338232495094,0.0065829281601321,0.5732472629873357,0.5331758160278972
anisotropy,track_coast_dist_km,0.1432669004693381,0.0020840248721395,0.5732472629873357,0.5331758160278972
anisotropy,track_signed_coast_dist_km,0.1216578868854632,0.0014895329855044,0.5732472629873357,0.5331758160278972
centroid_offset_km,track_move_dir_deg,0.3933398038618227,0.0071747099487832,0.585256066231621,0.5533470502313255
centroid_offset_km,track_pressure,0.2745322009086374,0.0060879232405252,0.585256066231621,0.5533470502313255
centroid_offset_km,track_move_speed_kmh,0.2522517080172247,0.0067388591505494,0.585256066231621,0.5533470502313255
centroid_offset_km,track_coast_dist_km,0.1346478129614899,0.0024991745393751,0.585256066231621,0.5533470502313255
centroid_offset_km,track_signed_coast_dist_km,0.1293443998351139,0.0022382308690173,0.585256066231621,0.5533470502313255
rain_area_10_grid,track_pressure,0.4600605091792792,0.0083890765554433,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_move_dir_deg,0.3266981250815272,0.0057722232223366,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_wind,0.2357897719179704,0.0065670829270053,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_move_speed_kmh,0.1449261740469007,0.0035747134258156,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_pressure_change_rate,0.1280736609553914,0.0029299496048969,0.5592998994739661,0.5259181384878149
rain_max,track_move_dir_deg,0.2864532077622961,0.0064478053493629,0.4199292764524761,0.3739532004685942
rain_max,track_pressure,0.2164482290707185,0.0042767571524419,0.4199292764524761,0.3739532004685942
rain_max,track_wind,0.1554191609567228,0.0062509011717031,0.4199292764524761,0.3739532004685942
rain_max,track_coast_dist_km,0.1543708401058452,0.0068314398420114,0.4199292764524761,0.3739532004685942
rain_max,track_move_speed_kmh,0.1300772150605419,0.0035834326569214,0.4199292764524761,0.3739532004685942
rain_p95,track_pressure,0.6015150041816383,0.0130331606432334,0.620743410901903,0.5848316793776801
rain_p95,track_move_dir_deg,0.4066896378695911,0.0050739805779212,0.620743410901903,0.5848316793776801
rain_p95,track_move_speed_kmh,0.191652786761885,0.0040533170963062,0.620743410901903,0.5848316793776801
rain_p95,track_coast_dist_km,0.1847758546019295,0.0037427467411147,0.620743410901903,0.5848316793776801
rain_p95,track_pressure_change_rate,0.1686734112777922,0.0037578271985959,0.620743410901903,0.5848316793776801
