rain_feature,typhoon_factor,spearman_corr,abs_corr
anisotropy,track_pressure_change_rate,0.086939179043967,0.086939179043967
anisotropy,track_wind_change_rate,-0.0831430573650124,0.0831430573650124
anisotropy,track_move_dir_deg,-0.0671885971508218,0.0671885971508218
anisotropy,track_move_speed_kmh,-0.0267200210464152,0.0267200210464152
anisotropy,track_wind,-0.0252136428453419,0.0252136428453419
asym_EW,track_move_dir_deg,-0.2538157586082166,0.2538157586082166
asym_EW,track_pressure_change_rate,0.1885105091981247,0.1885105091981247
asym_EW,track_wind_change_rate,-0.178062709707214,0.178062709707214
asym_EW,track_signed_coast_dist_km,-0.063826452883916,0.063826452883916
asym_EW,track_coast_dist_km,-0.0379601562395947,0.0379601562395947
asym_NS,track_pressure_change_rate,0.2533265181180934,0.2533265181180934
asym_NS,track_wind_change_rate,-0.2403450935139909,0.2403450935139909
asym_NS,track_move_dir_deg,-0.2102778705799879,0.2102778705799879
asym_NS,track_signed_coast_dist_km,-0.1033758875191779,0.1033758875191779
asym_NS,track_coast_dist_km,-0.0799403852762775,0.0799403852762775
centroid_offset_km,track_wind,-0.2106961322434964,0.2106961322434964
centroid_offset_km,track_pressure,0.1983264607112887,0.1983264607112887
centroid_offset_km,track_pressure_change_rate,0.1730767460589516,0.1730767460589516
centroid_offset_km,track_wind_change_rate,-0.1659384208102388,0.1659384208102388
centroid_offset_km,track_move_dir_deg,-0.1275961177781733,0.1275961177781733
r80_km,track_pressure,0.2512543445375862,0.2512543445375862
r80_km,track_wind,-0.2308490169231391,0.2308490169231391
r80_km,track_is_land,0.076318899858901,0.076318899858901
r80_km,track_move_speed_kmh,-0.0726705220746685,0.0726705220746685
r80_km,track_signed_coast_dist_km,-0.0602548813464338,0.0602548813464338
rain_area_10_grid,track_pressure,-0.3551029400335638,0.3551029400335638
rain_area_10_grid,track_wind,0.3530400846070768,0.3530400846070768
rain_area_10_grid,track_pressure_change_rate,-0.198477100344738,0.198477100344738
rain_area_10_grid,track_wind_change_rate,0.1900671926507531,0.1900671926507531
rain_area_10_grid,track_move_dir_deg,0.1695556738450797,0.1695556738450797
rain_area_20_grid,track_wind,0.3347891480629743,0.3347891480629743
rain_area_20_grid,track_pressure,-0.3215077487662659,0.3215077487662659
rain_area_20_grid,track_wind_change_rate,0.2240951571630609,0.2240951571630609
rain_area_20_grid,track_pressure_change_rate,-0.2227353681751418,0.2227353681751418
rain_area_20_grid,track_move_dir_deg,0.1848271378282449,0.1848271378282449
rain_area_5_grid,track_pressure,-0.3139679507781543,0.3139679507781543
rain_area_5_grid,track_wind,0.299822323927998,0.299822323927998
rain_area_5_grid,track_pressure_change_rate,-0.1786057521743887,0.1786057521743887
rain_area_5_grid,track_wind_change_rate,0.1641050516422039,0.1641050516422039
rain_area_5_grid,track_move_dir_deg,0.1619418073235168,0.1619418073235168
rain_entropy_norm,track_pressure,-0.1219164952062656,0.1219164952062656
rain_entropy_norm,track_pressure_change_rate,-0.1140559808904667,0.1140559808904667
rain_entropy_norm,track_move_dir_deg,0.1058792303363591,0.1058792303363591
rain_entropy_norm,track_wind_change_rate,0.0971235945495242,0.0971235945495242
rain_entropy_norm,track_wind,0.0947998968591449,0.0947998968591449
rain_gini,track_pressure_change_rate,0.1301060902334754,0.1301060902334754
rain_gini,track_pressure,0.1257045061143316,0.1257045061143316
rain_gini,track_move_dir_deg,-0.1176909487494866,0.1176909487494866
rain_gini,track_wind_change_rate,-0.1146293529099358,0.1146293529099358
rain_gini,track_wind,-0.1027390226231455,0.1027390226231455
rain_max,track_wind,0.1856373793549758,0.1856373793549758
rain_max,track_pressure,-0.1748096226758722,0.1748096226758722
rain_max,track_move_dir_deg,0.1551973773531556,0.1551973773531556
rain_max,track_pressure_change_rate,-0.1506993673971204,0.1506993673971204
rain_max,track_wind_change_rate,0.147456536812148,0.147456536812148
rain_p95,track_pressure,-0.2738842291562309,0.2738842291562309
rain_p95,track_wind,0.25343984728957,0.25343984728957
rain_p95,track_pressure_change_rate,-0.1659954222731969,0.1659954222731969
rain_p95,track_move_dir_deg,0.1562425131023843,0.1562425131023843
rain_p95,track_wind_change_rate,0.1485125056015733,0.1485125056015733
rain_p99,track_pressure,-0.3522718718605739,0.3522718718605739
rain_p99,track_wind,0.34377418387655,0.34377418387655
rain_p99,track_pressure_change_rate,-0.1937168814408251,0.1937168814408251
rain_p99,track_wind_change_rate,0.1853265232833836,0.1853265232833836
rain_p99,track_move_dir_deg,0.1652856612336496,0.1652856612336496
