target,feature,importance_mean,importance_std,train_r2,test_r2
rain_max,track_move_dir_deg,0.28645320776229616,0.006447805349362967,0.41992927645247613,0.37395320046859426
rain_max,track_pressure,0.2164482290707185,0.00427675715244191,0.41992927645247613,0.37395320046859426
rain_max,track_wind,0.15541916095672287,0.00625090117170311,0.41992927645247613,0.37395320046859426
rain_max,track_coast_dist_km,0.1543708401058452,0.006831439842011438,0.41992927645247613,0.37395320046859426
rain_max,track_move_speed_kmh,0.13007721506054198,0.003583432656921419,0.41992927645247613,0.37395320046859426
rain_max,track_pressure_change_rate,0.11048452437699807,0.006875800368403746,0.41992927645247613,0.37395320046859426
rain_max,track_signed_coast_dist_km,0.08477731519878542,0.0033187407904006934,0.41992927645247613,0.37395320046859426
rain_max,track_wind_change_rate,0.03730236862120073,0.002817159193617029,0.41992927645247613,0.37395320046859426
rain_max,gpm_track_center_dist_km,0.0021800645460193667,0.0004929516576602487,0.41992927645247613,0.37395320046859426
rain_max,track_time_diff_h,0.0002623329690672804,5.6741815817309186e-05,0.41992927645247613,0.37395320046859426
rain_max,track_is_land,0.0002528892119870063,2.135935380733466e-05,0.41992927645247613,0.37395320046859426
rain_p95,track_pressure,0.6015150041816383,0.013033160643233494,0.620743410901903,0.5848316793776801
rain_p95,track_move_dir_deg,0.40668963786959117,0.005073980577921253,0.620743410901903,0.5848316793776801
rain_p95,track_move_speed_kmh,0.19165278676188507,0.0040533170963062476,0.620743410901903,0.5848316793776801
rain_p95,track_coast_dist_km,0.18477585460192958,0.0037427467411147073,0.620743410901903,0.5848316793776801
rain_p95,track_pressure_change_rate,0.16867341127779228,0.0037578271985959076,0.620743410901903,0.5848316793776801
rain_p95,track_wind,0.1298873128705229,0.0029106823953406703,0.620743410901903,0.5848316793776801
rain_p95,track_signed_coast_dist_km,0.12671347397457045,0.002400035055501565,0.620743410901903,0.5848316793776801
rain_p95,track_wind_change_rate,0.03475918063834009,0.0008496669536071503,0.620743410901903,0.5848316793776801
rain_p95,gpm_track_center_dist_km,0.0004999197812340928,9.583546554844774e-05,0.620743410901903,0.5848316793776801
rain_p95,track_is_land,0.0003109049221378113,2.5187857184569257e-05,0.620743410901903,0.5848316793776801
rain_p95,track_time_diff_h,3.75207991822224e-05,2.4108744815994125e-05,0.620743410901903,0.5848316793776801
rain_area_10_grid,track_pressure,0.46006050917927926,0.008389076555443397,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_move_dir_deg,0.32669812508152724,0.005772223222336661,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_wind,0.2357897719179704,0.006567082927005329,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_move_speed_kmh,0.1449261740469007,0.003574713425815655,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_pressure_change_rate,0.12807366095539144,0.0029299496048969644,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_coast_dist_km,0.12541411114816917,0.0035191002935779387,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_signed_coast_dist_km,0.10324346770165842,0.002938068947415706,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_wind_change_rate,0.058969870971037064,0.002079103418033524,0.5592998994739661,0.5259181384878149
rain_area_10_grid,gpm_track_center_dist_km,0.0014985815625434995,0.00022871892633366653,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_is_land,0.0002490774158777631,2.1510588680301705e-05,0.5592998994739661,0.5259181384878149
rain_area_10_grid,track_time_diff_h,0.00010502897289278445,3.803020909277576e-05,0.5592998994739661,0.5259181384878149
