,rain_max,rain_max,rain_max,rain_max,rain_p95,rain_p95,rain_p95,rain_p95,rain_p99,rain_p99,rain_p99,rain_p99,rain_area_5_grid,rain_area_5_grid,rain_area_5_grid,rain_area_5_grid,rain_area_10_grid,rain_area_10_grid,rain_area_10_grid,rain_area_10_grid,rain_area_20_grid,rain_area_20_grid,rain_area_20_grid,rain_area_20_grid,centroid_offset_km,centroid_offset_km,centroid_offset_km,centroid_offset_km,asym_EW,asym_EW,asym_EW,asym_EW,asym_NS,asym_NS,asym_NS,asym_NS,r80_km,r80_km,r80_km,r80_km,anisotropy,anisotropy,anisotropy,anisotropy,rain_gini,rain_gini,rain_gini,rain_gini,rain_entropy_norm,rain_entropy_norm,rain_entropy_norm,rain_entropy_norm
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
track_intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,40.50316328504192,39.09499931335449,14.113538458164774,670,2.095089501717976,2.0049999952316284,0.846784408488189,670,7.167029691987963,6.849999904632568,2.5701257042574537,670,738.4582089552239,699.0,341.5808197153133,670,214.8865671641791,187.0,155.2208965478514,670,45.38955223880597,28.0,58.58201521393461,670,352.67172158909386,323.61657022542806,201.04451366261608,670,0.2771859778137563,0.3288689030521845,0.3943210853280849,670,-0.1260674245342072,-0.13147342595121164,0.4624218215520252,670,975.9739970052927,1001.6633024880713,180.46037241889002,670,0.26091111402836953,0.2666713996705603,0.12222387829780425,670,0.919832753106463,0.9201508450937617,0.02393157880773451,670,0.7800495501080713,0.7838628975358798,0.03072316988565316,670
1.0,42.24445921086161,40.540000915527344,15.138760109793505,9762,2.544323849929865,2.419999837875366,1.341817685985539,9762,8.194022558640198,7.569999694824219,3.990896684555474,9762,922.8937717680803,834.0,571.915091353774,9762,292.4942634706003,231.0,245.03154483289657,9762,77.00553165334972,45.0,98.80746760374963,9762,284.0292532359563,269.9111358107881,150.49336612032997,9762,0.01985269751780779,0.0039622387375489,0.4122976210995635,9762,-0.09276699548524833,-0.15100916154724975,0.43621422415782185,9762,958.6189803570533,987.611617482227,186.73028143419666,9762,0.24295010364221764,0.2210217705936831,0.13407333411081662,9762,0.9019872466959058,0.9050756498192754,0.0400640824101752,9762,0.7935878825460958,0.7996329936259909,0.04368077360600499,9762
2.0,44.63209469432748,42.209999084472656,15.299535112919283,8527,2.9131299912426245,2.809999942779541,1.3299029248258531,8527,9.534211118783007,8.609999656677246,4.441628697381593,8527,1082.68605605723,1015.0,570.3938763020918,8527,366.3512372463938,305.0,267.09187694509683,8527,106.76826550955788,66.0,123.30565498901154,8527,255.787668374233,237.6964115632833,142.49108091647676,8527,0.06380429324098849,0.0498119712555794,0.4169975565319816,8527,-0.13107784518786436,-0.1964088999775695,0.425682797243832,8527,910.8056514136067,939.608693233448,191.09572298271436,8527,0.22730358864440567,0.210913917689782,0.12156973516088433,8527,0.8967448854998327,0.9005232808850807,0.037534744453884376,8527,0.8004494183521162,0.8040960978032742,0.036860727216723094,8527
3.0,45.560300268449325,42.619998931884766,15.783791859159967,3751,3.036814111976886,2.8999998569488525,1.4344301597733424,3751,10.205555621956673,9.539999961853027,4.852937424227152,3751,1169.1247667288724,1121.0,626.3808357241192,3751,419.96320981071716,372.0,290.3099855547302,3751,120.00906424953345,80.0,129.59347688503004,3751,240.79117666968295,229.0710538546617,129.2851806333605,3751,0.08875715122738355,0.0763441972345859,0.3638190454281288,3751,-0.06693431502518588,-0.1329139824583011,0.42849607613055246,3751,849.79919882998,878.2648353044035,206.40581842000358,3751,0.233352019086514,0.2212680502576524,0.12044381210594524,3751,0.8995562599541771,0.905557389776906,0.03829145201304717,3751,0.7976328014187373,0.7980995451378744,0.037782967814536716,3751
4.0,46.2807046968323,43.56999969482422,14.402873459218561,3103,3.2623653786051015,3.1999998092651367,1.2891782642565006,3103,10.908420637792593,10.25,4.120150464124993,3103,1257.0270705768612,1206.0,553.278522719611,3103,465.4743796326136,421.0,274.01894033539736,3103,134.9487592652272,109.0,113.20841835896404,3103,239.6101840048355,217.28132697261935,129.0239034765226,3103,0.05872486779859607,0.0636332447778438,0.3268361438521316,3103,-0.06419972175077208,-0.1387424388077483,0.435957890255388,3103,854.7913329784383,894.3573625211228,216.2544145993127,3103,0.24162182719315353,0.2297714209145155,0.1163797393125527,3103,0.8970584596571063,0.8981691393642715,0.033341791373222726,3103,0.8013758809616695,0.8063820507965931,0.03603430526998432,3103
5.0,44.610082832336424,42.95000076293945,11.603580023371295,2625,2.9328989806629364,2.8399999141693115,1.345346546550161,2625,10.428601675851004,9.679999351501465,3.9934139899610535,2625,1155.5569523809525,1063.0,553.6838270954372,2625,434.4681904761905,384.0,256.5925800404672,2625,126.78133333333334,100.0,106.2730830114767,2625,208.5723737580973,191.75077915105808,122.23577740860519,2625,0.10560994057054404,0.121132673609308,0.305590429064016,2625,-0.002906145958099462,-0.080492394721953,0.37114644356034393,2625,779.4881824536089,818.4633983094237,249.14484641447564,2625,0.24009100476414777,0.226384314394432,0.12379494748920696,2625,0.9065507045757434,0.9052870551183708,0.03375043781606459,2625,0.7905894750319106,0.7992061746335437,0.040761142556425566,2625
6.0,46.443907398912344,44.13999938964844,11.175082031619853,2643,3.2691524044789917,3.18999981880188,1.3586663397326761,2643,11.822035300925606,11.010000228881836,4.650211267768609,2643,1303.8418463866817,1237.0,548.3935937314034,2643,516.044267877412,473.0,272.1414682404275,2643,163.82482027998486,127.0,133.59882365492385,2643,192.48552777092982,169.72046757030736,118.13096760579877,2643,0.10771479478227498,0.0940953682242359,0.2498505181413335,2643,-0.12215544610566087,-0.1434593119728454,0.28725969324772577,2643,811.8644146279688,847.6465079863912,221.94684430898852,2643,0.23195950135221882,0.2167437392718713,0.11120177223330886,2643,0.895024781279757,0.895802549628657,0.03638058144841488,2643,0.8010451941766046,0.8061862737075831,0.037625809393178944,2643
