,rain_max,rain_p95,rain_p99,rain_area_5_grid,rain_area_10_grid,rain_area_20_grid,centroid_offset_km,asym_EW,asym_NS,r80_km,anisotropy,rain_gini,rain_entropy_norm
track_pressure,-0.17480962267587227,-0.27388422915623095,-0.35227187186057396,-0.31396795077815437,-0.3551029400335638,-0.3215077487662659,0.19832646071128876,-0.027904844330551255,-0.0013895195757525959,0.2512543445375862,0.02255723745625359,0.1257045061143316,-0.12191649520626567
track_wind,0.18563737935497582,0.25343984728957003,0.34377418387655007,0.299822323927998,0.3530400846070768,0.33478914806297433,-0.21069613224349643,0.007899164522416516,0.013661455319816137,-0.23084901692313914,-0.025213642845341947,-0.10273902262314552,0.09479989685914493
track_move_speed_kmh,-0.08182765824879573,0.032383117200020184,-0.00011097466459859134,0.029464019219538114,-0.011679390027309507,-0.06250804751236541,0.07224066919121991,-0.0067670494857176985,0.073201467359275,-0.07267052207466859,-0.026720021046415233,0.004343039350344859,0.009522731074964187
track_move_dir_deg,0.15519737735315567,0.1562425131023843,0.1652856612336496,0.1619418073235168,0.1695556738450797,0.18482713782824495,-0.12759611777817334,-0.25381575860821665,-0.21027787057998795,0.01576464517449643,-0.06718859715082182,-0.1176909487494866,0.10587923033635913
track_wind_change_rate,0.14745653681214801,0.14851250560157336,0.1853265232833836,0.16410505164220396,0.19006719265075317,0.22409515716306094,-0.16593842081023885,-0.178062709707214,-0.24034509351399092,-0.04840886278442301,-0.08314305736501247,-0.11462935290993587,0.09712359454952428
track_pressure_change_rate,-0.15069936739712045,-0.1659954222731969,-0.19371688144082513,-0.1786057521743887,-0.19847710034473803,-0.2227353681751418,0.1730767460589516,0.18851050919812473,0.2533265181180934,0.051397380016786606,0.086939179043967,0.13010609023347547,-0.11405598089046677
track_is_land,-0.06242522252184516,-0.03997787672135218,-0.09792515227888195,-0.056259372639752,-0.1198674619760838,-0.16538903975446312,0.07129655603156612,0.037683617299353274,0.05806334624974569,0.07631889985890107,0.009203073905406686,0.06846730742241207,-0.048767722795514494
track_coast_dist_km,-0.0376849488766002,-0.0781447596082004,-0.027274551578788712,-0.06556492732116397,-0.014578960068281478,0.03081384851459008,-0.044017715715576146,-0.037960156239594776,-0.07994038527627755,-0.02569572187825583,0.022724431072038403,-0.026867640445252135,0.004342091263065935
track_signed_coast_dist_km,0.014223866166641617,-0.03802978895890218,0.03613255461876566,-0.01708386210256201,0.059559549018247476,0.12065130739900769,-0.06643839073271353,-0.06382645288391603,-0.10337588751917794,-0.060254881346433885,-0.0019288755984845027,-0.06355656326574967,0.03334850022790583
gpm_track_center_dist_km,-0.028754374887290976,0.0241035218693224,0.018221554068402163,0.028020158489241945,0.015801361603838916,-0.01462982653700779,0.029213759347308618,-0.02461520448452621,0.046302595345446236,-0.05377465992084268,0.0007376470397371415,-0.004116242896363278,0.008526402329310713
track_time_diff_h,0.024704497170895748,0.00633679770387723,0.022306643013552337,0.011979691993121797,0.025751354335731693,0.026259086268676513,-0.010764666155912893,-0.02462965166924372,0.005157022496541071,-0.02030123879646184,0.017927291701241823,-0.0019380974824703002,-0.001657787562067255
