target,feature,importance_mean,importance_std,train_r2,test_r2
anisotropy,track_move_dir_deg,0.5742058777986387,0.006988484721337459,0.5732472629873357,0.5331758160278972
anisotropy,track_move_speed_kmh,0.26191851137158156,0.0047565798239298535,0.5732472629873357,0.5331758160278972
anisotropy,track_pressure,0.24433382324950942,0.006582928160132176,0.5732472629873357,0.5331758160278972
anisotropy,track_coast_dist_km,0.14326690046933813,0.0020840248721395896,0.5732472629873357,0.5331758160278972
anisotropy,track_signed_coast_dist_km,0.12165788688546328,0.0014895329855044413,0.5732472629873357,0.5331758160278972
anisotropy,track_wind,0.10191091826880187,0.002532495328267562,0.5732472629873357,0.5331758160278972
anisotropy,track_wind_change_rate,0.03481543297218542,0.0009350137113221356,0.5732472629873357,0.5331758160278972
anisotropy,track_pressure_change_rate,0.033017769201693456,0.0007791741481489984,0.5732472629873357,0.5331758160278972
anisotropy,gpm_track_center_dist_km,0.0007430372500491945,0.00025415949330896004,0.5732472629873357,0.5331758160278972
anisotropy,track_is_land,0.0005085640844321393,6.437904078051296e-05,0.5732472629873357,0.5331758160278972
anisotropy,track_time_diff_h,3.5924051464264474e-05,1.8317767308257528e-05,0.5732472629873357,0.5331758160278972
