rain_feature,typhoon_factor,spearman_corr,abs_corr
anisotropy,track_pressure_change_rate,0.086939179043967,0.086939179043967
anisotropy,track_wind_change_rate,-0.08314305736501247,0.08314305736501247
anisotropy,track_move_dir_deg,-0.06718859715082182,0.06718859715082182
anisotropy,track_move_speed_kmh,-0.026720021046415233,0.026720021046415233
anisotropy,track_wind,-0.025213642845341947,0.025213642845341947
anisotropy,track_coast_dist_km,0.022724431072038403,0.022724431072038403
anisotropy,track_pressure,0.02255723745625359,0.02255723745625359
anisotropy,track_time_diff_h,0.017927291701241823,0.017927291701241823
anisotropy,track_is_land,0.009203073905406686,0.009203073905406686
anisotropy,track_signed_coast_dist_km,-0.0019288755984845027,0.0019288755984845027
anisotropy,gpm_track_center_dist_km,0.0007376470397371415,0.0007376470397371415
asym_EW,track_move_dir_deg,-0.25381575860821665,0.25381575860821665
asym_EW,track_pressure_change_rate,0.18851050919812473,0.18851050919812473
asym_EW,track_wind_change_rate,-0.178062709707214,0.178062709707214
asym_EW,track_signed_coast_dist_km,-0.06382645288391603,0.06382645288391603
asym_EW,track_coast_dist_km,-0.037960156239594776,0.037960156239594776
asym_EW,track_is_land,0.037683617299353274,0.037683617299353274
asym_EW,track_pressure,-0.027904844330551255,0.027904844330551255
asym_EW,track_time_diff_h,-0.02462965166924372,0.02462965166924372
asym_EW,gpm_track_center_dist_km,-0.02461520448452621,0.02461520448452621
asym_EW,track_wind,0.007899164522416516,0.007899164522416516
asym_EW,track_move_speed_kmh,-0.0067670494857176985,0.0067670494857176985
asym_NS,track_pressure_change_rate,0.2533265181180934,0.2533265181180934
asym_NS,track_wind_change_rate,-0.24034509351399092,0.24034509351399092
asym_NS,track_move_dir_deg,-0.21027787057998795,0.21027787057998795
asym_NS,track_signed_coast_dist_km,-0.10337588751917794,0.10337588751917794
asym_NS,track_coast_dist_km,-0.07994038527627755,0.07994038527627755
asym_NS,track_move_speed_kmh,0.073201467359275,0.073201467359275
asym_NS,track_is_land,0.05806334624974569,0.05806334624974569
asym_NS,gpm_track_center_dist_km,0.046302595345446236,0.046302595345446236
asym_NS,track_wind,0.013661455319816137,0.013661455319816137
asym_NS,track_time_diff_h,0.005157022496541071,0.005157022496541071
asym_NS,track_pressure,-0.0013895195757525959,0.0013895195757525959
centroid_offset_km,track_wind,-0.21069613224349643,0.21069613224349643
centroid_offset_km,track_pressure,0.19832646071128876,0.19832646071128876
centroid_offset_km,track_pressure_change_rate,0.1730767460589516,0.1730767460589516
centroid_offset_km,track_wind_change_rate,-0.16593842081023885,0.16593842081023885
centroid_offset_km,track_move_dir_deg,-0.12759611777817334,0.12759611777817334
centroid_offset_km,track_move_speed_kmh,0.07224066919121991,0.07224066919121991
centroid_offset_km,track_is_land,0.07129655603156612,0.07129655603156612
centroid_offset_km,track_signed_coast_dist_km,-0.06643839073271353,0.06643839073271353
centroid_offset_km,track_coast_dist_km,-0.044017715715576146,0.044017715715576146
centroid_offset_km,gpm_track_center_dist_km,0.029213759347308618,0.029213759347308618
centroid_offset_km,track_time_diff_h,-0.010764666155912893,0.010764666155912893
r80_km,track_pressure,0.2512543445375862,0.2512543445375862
r80_km,track_wind,-0.23084901692313914,0.23084901692313914
r80_km,track_is_land,0.07631889985890107,0.07631889985890107
r80_km,track_move_speed_kmh,-0.07267052207466859,0.07267052207466859
r80_km,track_signed_coast_dist_km,-0.060254881346433885,0.060254881346433885
r80_km,gpm_track_center_dist_km,-0.05377465992084268,0.05377465992084268
r80_km,track_pressure_change_rate,0.051397380016786606,0.051397380016786606
r80_km,track_wind_change_rate,-0.04840886278442301,0.04840886278442301
r80_km,track_coast_dist_km,-0.02569572187825583,0.02569572187825583
r80_km,track_time_diff_h,-0.02030123879646184,0.02030123879646184
