,rain_max,rain_p95,rain_p99,rain_area_10_grid,rain_area_10_km2,rain_area_10_equiv_radius_km,centroid_offset_km,centroid_relative_to_motion_deg,asym_EW,asym_NS,r80_km,anisotropy,rain_gini,rain_entropy_norm
track_wind,0.18563737935497582,0.25343984728957003,0.34377418387655007,0.3530400846070768,0.3525959999288823,0.3525959999288823,-0.21069613224349643,-0.032154368627111234,0.007899164522416516,0.013661455319816137,-0.23084901692313914,-0.025213642845341947,-0.10273902262314552,0.09479989685914493
track_pressure,-0.17480962267587227,-0.27388422915623095,-0.35227187186057396,-0.3551029400335638,-0.3504832157779076,-0.3504832157779076,0.19832646071128876,0.0026441591326244896,-0.027904844330551255,-0.0013895195757525959,0.2512543445375862,0.02255723745625359,0.1257045061143316,-0.12191649520626567
pressure_deficit,0.17480962267587227,0.27388422915623095,0.35227187186057396,0.3551029400335638,0.3504832157779076,0.3504832157779076,-0.19832646071128876,-0.0026441591326244896,0.027904844330551255,0.0013895195757525959,-0.2512543445375862,-0.02255723745625359,-0.1257045061143316,0.12191649520626567
intensity_index,0.18563529904935827,0.2716424930554332,0.3559384570956841,0.3617122190088834,0.3592308791335144,0.3592308791335144,-0.20747437097432586,-0.02149187942486338,0.0130604518135945,0.003968865071428027,-0.24499991044319655,-0.027521950270812508,-0.12255026831001986,0.11639789026977151
track_move_speed_kmh,-0.08182765824879573,0.032383117200020184,-0.00011097466459859134,-0.011679390027309507,-0.02954637228777192,-0.02954637228777192,0.07224066919121991,-0.06599315136289752,-0.0067670494857176985,0.073201467359275,-0.07267052207466859,-0.026720021046415233,0.004343039350344859,0.009522731074964187
track_move_dir_sin,-0.17429373413432192,-0.1594500127761242,-0.1632441723775439,-0.1694537887069275,-0.20053246468656216,-0.20053246468656216,0.1744051864238339,0.26132255556682793,0.3941959602551697,0.357226653673786,-0.05952506516884347,0.2185079391062688,0.18728744154021476,-0.1649760847287146
track_move_dir_cos,-0.004102543203263635,0.06094042810845933,0.049259043390668326,0.043979639092287685,0.028998172479683698,0.028998172479683698,0.03472834099280282,0.15193234939257014,0.09856445266179292,0.17697852896164798,-0.061309744091898086,0.12649049836086224,-0.0017854156129204653,0.01382953018859244
track_wind_change_rate,0.14745653681214801,0.14851250560157336,0.1853265232833836,0.19006719265075317,0.20601839331012456,0.20601839331012456,-0.16593842081023885,-0.12208704958838336,-0.178062709707214,-0.24034509351399092,-0.04840886278442301,-0.08314305736501247,-0.11462935290993587,0.09712359454952428
track_pressure_change_rate,-0.15069936739712045,-0.1659954222731969,-0.19371688144082513,-0.19847710034473803,-0.2134526286034528,-0.2134526286034528,0.1730767460589516,0.11990950119957627,0.18851050919812473,0.2533265181180934,0.051397380016786606,0.086939179043967,0.13010609023347547,-0.11405598089046677
is_intensifying_wind,0.1398827356096353,0.1555094983471777,0.19026963543590908,0.19550293971771265,0.2088512625839766,0.2088512625839766,-0.17859671459328394,-0.11577442974471751,-0.15358969698688701,-0.19164947462709767,-0.07305697418345732,-0.08216749610486239,-0.09076113339238241,0.0781716242284683
is_weakening_wind,-0.1096503372440519,-0.08111229536920533,-0.10821512585198788,-0.11000703210754889,-0.12305654444910638,-0.12305654444910638,0.09209571979021922,0.07590440671117114,0.148930366023123,0.21248606600631667,0.00509331641482704,0.05135283747229415,0.09239919118588336,-0.07504999082725697
is_intensifying_pressure,0.13107511612137734,0.16095307596383435,0.18928318993562426,0.19381067247278422,0.20594790497067747,0.20594790497067747,-0.17509624219720293,-0.11051489930581254,-0.14592593694789582,-0.18478331889760705,-0.08382552002965094,-0.0795002186244865,-0.09794702874625368,0.08697469835427486
is_weakening_pressure,-0.1337433950259661,-0.11866512681477973,-0.13642999627563035,-0.1387470713240623,-0.15173760439666545,-0.15173760439666545,0.1145440585413099,0.08147516164520081,0.17649836916153683,0.24141989881126097,0.004362922378894796,0.06730446547478623,0.12394561222094445,-0.10677550940760325
track_is_land,-0.06242522252184516,-0.03997787672135218,-0.09792515227888195,-0.1198674619760838,-0.12941597476764663,-0.12941597476764663,0.07129655603156612,0.03392581275761799,0.037683617299353274,0.05806334624974569,0.07631889985890107,0.009203073905406686,0.06846730742241207,-0.048767722795514494
track_coast_dist_km,-0.0376849488766002,-0.0781447596082004,-0.027274551578788712,-0.014578960068281478,-0.009287898114941772,-0.009287898114941772,-0.044017715715576146,-0.05595234381732211,-0.037960156239594776,-0.07994038527627755,-0.02569572187825583,0.022724431072038403,-0.026867640445252135,0.004342091263065935
track_signed_coast_dist_km,0.014223866166641617,-0.03802978895890218,0.03613255461876566,0.059559549018247476,0.06995815567815693,0.06995815567815693,-0.06643839073271353,-0.07527694290447894,-0.06382645288391603,-0.10337588751917794,-0.060254881346433885,-0.0019288755984845027,-0.06355656326574967,0.03334850022790583
is_near_coast_100km,0.028389831175254215,0.03934894452230786,0.005561519078800721,-0.002036908466199471,-0.00674470775512185,-0.00674470775512185,0.05096995110653377,0.034232836738785556,0.03287052055790152,0.05413914130435494,0.036139007841637934,-0.02324964028849075,0.030234293693410852,-0.016504665610709162
is_near_coast_200km,0.028068493910262605,0.06832412702989707,0.022369559506309773,0.011786727317626741,0.006117447575165926,0.006117447575165926,0.04133509509128838,0.0325823158211709,0.019218877938281264,0.05303046011465973,0.045091034633230276,-0.026439942284163742,0.014659514958757997,0.0036914878691665792
is_offshore_far_300km,0.0035899508704988745,-0.051241558499873205,0.0025742123991151587,0.021516837568397316,0.030543543640276217,0.030543543640276217,-0.03937742073743985,-0.06644856579019434,-0.07010934172438674,-0.09969992429268232,-0.028618027849868343,-0.0032065127411556524,-0.0608772555230326,0.03353938324992285
is_inland_100km,-0.07659110940729666,-0.04807704004886886,-0.09871793287703359,-0.12006163314107551,-0.12974975392924318,-0.12974975392924318,0.03861400409799298,0.04072059498316054,0.056785353886912124,0.04843620647390231,0.06051540857090026,0.044987966774285085,0.063313745745046,-0.04600801902898949
coast_influence_exp,0.0376849488766002,0.0781447596082004,0.027274551578788712,0.014578960068281478,0.009287898114941772,0.009287898114941772,0.044017715715576146,0.05595234381732211,0.037960156239594776,0.07994038527627755,0.02569572187825583,-0.022724431072038403,0.026867640445252135,-0.004342091263065935
hour_sin,-0.06979374259716963,0.013393309302606253,-0.0542781365026532,-0.057524911348877654,-0.05595629709126845,-0.05595629709126845,-0.030793054157914005,0.0019592568141090874,-0.025814370745331463,0.017758056028122894,0.02320243933280194,0.01010715630643946,-0.08268285851339821,0.08898379587170122
hour_cos,-0.04486899823993273,0.017789126840858337,0.03500666197440911,0.03508811772342955,0.03416064047233529,0.03416064047233529,0.019212589894017255,-0.016375300848234027,0.03410439991711112,-0.03907884886658037,-0.0349963002757764,0.045382337256413365,0.0384774271422493,-0.029174603837275766
month_sin,0.0034565781057692667,-0.03758305231777264,-0.04453689374620881,-0.0370872039363337,-0.027984828366652767,-0.027984828366652767,0.05418902527373558,-0.031837382131733774,0.05856471380344063,-0.09148138763007943,0.09523055546848727,-0.11818169854500975,0.050718996158783496,-0.04658844734115471
month_cos,-0.03867365543715897,-0.07046092392828972,-0.03500468195020831,-0.023526047593396368,-0.01574507364948386,-0.01574507364948386,-0.10926448639935982,0.14850097671106174,0.012876826923375662,0.3148623312893276,-0.15053260304493796,0.09214217921923502,0.041704991548287704,-0.04942119405803412
gpm_track_center_dist_km,-0.028754374887290976,0.0241035218693224,0.018221554068402163,0.015801361603838916,0.007161195636525794,0.007161195636525794,0.029213759347308618,-0.029575581528486862,-0.02461520448452621,0.046302595345446236,-0.05377465992084268,0.0007376470397371415,-0.004116242896363278,0.008526402329310713
track_time_diff_h,0.024704497170895748,0.00633679770387723,0.022306643013552337,0.025751354335731693,0.027482849489170867,0.027482849489170867,-0.010764666155912893,0.005026862725955231,-0.02462965166924372,0.005157022496541071,-0.02030123879646184,0.017927291701241823,-0.0019380974824703002,-0.001657787562067255
