target,feature,importance_mean,importance_std,train_r2,test_r2
anisotropy,track_move_dir_sin,0.47410499241381476,0.005445891650784269,0.6950558062526011,0.6467335451959957
anisotropy,month_cos,0.3211819246417954,0.009058540100462096,0.6950558062526011,0.6467335451959957
anisotropy,track_move_speed_kmh,0.278929254535128,0.005143787984034632,0.6950558062526011,0.6467335451959957
anisotropy,track_move_dir_cos,0.17331431065732886,0.00260279531690511,0.6950558062526011,0.6467335451959957
anisotropy,intensity_index,0.14296416316411867,0.0030015735835829884,0.6950558062526011,0.6467335451959957
anisotropy,track_signed_coast_dist_km,0.09732301150678814,0.002286151145548396,0.6950558062526011,0.6467335451959957
anisotropy,month_sin,0.0965183873920965,0.0014871603771015119,0.6950558062526011,0.6467335451959957
anisotropy,coast_influence_exp,0.05675622239749846,0.0007193850365361867,0.6950558062526011,0.6467335451959957
anisotropy,track_pressure,0.05199119978255751,0.001109965373658325,0.6950558062526011,0.6467335451959957
anisotropy,track_coast_dist_km,0.04676753530942077,0.0006340530959992115,0.6950558062526011,0.6467335451959957
anisotropy,pressure_deficit,0.039937270791941724,0.0006383162301627593,0.6950558062526011,0.6467335451959957
anisotropy,track_wind,0.03923920122617371,0.0013028869032758084,0.6950558062526011,0.6467335451959957
anisotropy,track_wind_change_rate,0.023713701407997844,0.0006442010878002536,0.6950558062526011,0.6467335451959957
anisotropy,hour_cos,0.0203915650529534,0.0008274505119631142,0.6950558062526011,0.6467335451959957
anisotropy,track_pressure_change_rate,0.01820754015542896,0.00045891297021176907,0.6950558062526011,0.6467335451959957
anisotropy,hour_sin,0.014937241734993023,0.0004936345703038811,0.6950558062526011,0.6467335451959957
anisotropy,is_weakening_pressure,0.004080998134057023,0.0003036030059491892,0.6950558062526011,0.6467335451959957
anisotropy,is_intensifying_wind,0.003394467078143115,0.00015085801537161736,0.6950558062526011,0.6467335451959957
anisotropy,is_intensifying_pressure,0.0033032116461548244,0.00010690737154053289,0.6950558062526011,0.6467335451959957
anisotropy,is_weakening_wind,0.002258599050424881,0.00015349959357240697,0.6950558062526011,0.6467335451959957
anisotropy,is_near_coast_200km,0.0012040006480704025,7.172742555179102e-05,0.6950558062526011,0.6467335451959957
anisotropy,is_near_coast_100km,0.0008726420452481287,7.39008200609291e-05,0.6950558062526011,0.6467335451959957
anisotropy,is_offshore_far_300km,0.0006358974291025277,4.038744246158805e-05,0.6950558062526011,0.6467335451959957
anisotropy,gpm_track_center_dist_km,0.0006085741074942308,8.716176213169197e-05,0.6950558062526011,0.6467335451959957
anisotropy,track_is_land,0.0002819366897221398,1.618637099927093e-05,0.6950558062526011,0.6467335451959957
anisotropy,is_inland_100km,0.00016999280130455263,2.2253112388152846e-05,0.6950558062526011,0.6467335451959957
anisotropy,track_time_diff_h,6.23626460216964e-05,1.4877450058023664e-05,0.6950558062526011,0.6467335451959957
