target,feature,importance_mean,importance_std,train_r2,test_r2
anisotropy,track_move_dir_sin,0.4741049924138147,0.0054458916507842,0.6950558062526011,0.6467335451959957
anisotropy,month_cos,0.3211819246417954,0.009058540100462,0.6950558062526011,0.6467335451959957
anisotropy,track_move_speed_kmh,0.278929254535128,0.0051437879840346,0.6950558062526011,0.6467335451959957
anisotropy,track_move_dir_cos,0.1733143106573288,0.0026027953169051,0.6950558062526011,0.6467335451959957
anisotropy,intensity_index,0.1429641631641186,0.0030015735835829,0.6950558062526011,0.6467335451959957
centroid_offset_km,track_move_dir_sin,0.296578184092488,0.0050892746927563,0.6968161723054235,0.664937731374232
centroid_offset_km,intensity_index,0.2677919632173405,0.004474874404438,0.6968161723054235,0.664937731374232
centroid_offset_km,track_move_speed_kmh,0.2267395157896857,0.0049799053466659,0.6968161723054235,0.664937731374232
centroid_offset_km,month_cos,0.1817009704183931,0.0029398232261923,0.6968161723054235,0.664937731374232
centroid_offset_km,track_move_dir_cos,0.1629539606556267,0.0044597944507612,0.6968161723054235,0.664937731374232
rain_area_10_equiv_radius_km,intensity_index,0.4396967212987486,0.0099711073404435,0.7088692092075559,0.6733526845021819
rain_area_10_equiv_radius_km,track_move_dir_sin,0.3356573708765136,0.0079476501176841,0.7088692092075559,0.6733526845021819
rain_area_10_equiv_radius_km,month_cos,0.1751961012486807,0.0051681454303304,0.7088692092075559,0.6733526845021819
rain_area_10_equiv_radius_km,track_signed_coast_dist_km,0.1624101628808633,0.0042019038351522,0.7088692092075559,0.6733526845021819
rain_area_10_equiv_radius_km,track_move_speed_kmh,0.1169458735410768,0.0026466756596739,0.7088692092075559,0.6733526845021819
rain_area_10_km2,intensity_index,0.4033600729265306,0.009080946747574,0.6527465523523497,0.6126908428606703
rain_area_10_km2,track_move_dir_sin,0.2717033336281282,0.0073785897489915,0.6527465523523497,0.6126908428606703
rain_area_10_km2,month_cos,0.1620251215017109,0.0055170775704637,0.6527465523523497,0.6126908428606703
rain_area_10_km2,track_move_dir_cos,0.1314557341794348,0.0047343730984274,0.6527465523523497,0.6126908428606703
rain_area_10_km2,track_move_speed_kmh,0.1153926332853204,0.0029512744158826,0.6527465523523497,0.6126908428606703
rain_max,track_move_dir_sin,0.2999274016230183,0.0056592339900692,0.4831985990229341,0.4188468301877996
rain_max,track_move_speed_kmh,0.1095368318116216,0.0040459205795736,0.4831985990229341,0.4188468301877996
rain_max,intensity_index,0.098195554011493,0.0047478818216105,0.4831985990229341,0.4188468301877996
rain_max,month_cos,0.0833158850535304,0.0065660881230632,0.4831985990229341,0.4188468301877996
rain_max,pressure_deficit,0.063445495692942,0.0026127010192119,0.4831985990229341,0.4188468301877996
rain_p95,intensity_index,0.3068634510846582,0.0042667470333957,0.7139972730781425,0.684832287550885
rain_p95,track_move_dir_sin,0.2683870127757671,0.0051044998897385,0.7139972730781425,0.684832287550885
rain_p95,month_cos,0.217303754820485,0.0072108290060585,0.7139972730781425,0.684832287550885
rain_p95,track_move_dir_cos,0.1620688865830997,0.0061194079831969,0.7139972730781425,0.684832287550885
rain_p95,track_move_speed_kmh,0.1375094817238515,0.003284215961425,0.7139972730781425,0.684832287550885
