rain_feature,typhoon_factor,spearman_corr,abs_corr
anisotropy,track_move_dir_sin,0.2185079391062688,0.2185079391062688
anisotropy,track_move_dir_cos,0.12649049836086224,0.12649049836086224
anisotropy,month_sin,-0.11818169854500975,0.11818169854500975
anisotropy,month_cos,0.09214217921923502,0.09214217921923502
anisotropy,track_pressure_change_rate,0.086939179043967,0.086939179043967
asym_EW,track_move_dir_sin,0.3941959602551697,0.3941959602551697
asym_EW,track_pressure_change_rate,0.18851050919812473,0.18851050919812473
asym_EW,track_wind_change_rate,-0.178062709707214,0.178062709707214
asym_EW,is_weakening_pressure,0.17649836916153683,0.17649836916153683
asym_EW,is_intensifying_wind,-0.15358969698688701,0.15358969698688701
asym_NS,track_move_dir_sin,0.357226653673786,0.357226653673786
asym_NS,month_cos,0.3148623312893276,0.3148623312893276
asym_NS,track_pressure_change_rate,0.2533265181180934,0.2533265181180934
asym_NS,is_weakening_pressure,0.24141989881126097,0.24141989881126097
asym_NS,track_wind_change_rate,-0.24034509351399092,0.24034509351399092
centroid_offset_km,track_wind,-0.21069613224349643,0.21069613224349643
centroid_offset_km,intensity_index,-0.20747437097432586,0.20747437097432586
centroid_offset_km,track_pressure,0.19832646071128876,0.19832646071128876
centroid_offset_km,pressure_deficit,-0.19832646071128876,0.19832646071128876
centroid_offset_km,is_intensifying_wind,-0.17859671459328394,0.17859671459328394
centroid_relative_to_motion_deg,track_move_dir_sin,0.26132255556682793,0.26132255556682793
centroid_relative_to_motion_deg,track_move_dir_cos,0.15193234939257014,0.15193234939257014
centroid_relative_to_motion_deg,month_cos,0.14850097671106174,0.14850097671106174
centroid_relative_to_motion_deg,track_wind_change_rate,-0.12208704958838336,0.12208704958838336
centroid_relative_to_motion_deg,track_pressure_change_rate,0.11990950119957627,0.11990950119957627
r80_km,track_pressure,0.2512543445375862,0.2512543445375862
r80_km,pressure_deficit,-0.2512543445375862,0.2512543445375862
r80_km,intensity_index,-0.24499991044319655,0.24499991044319655
r80_km,track_wind,-0.23084901692313914,0.23084901692313914
r80_km,month_cos,-0.15053260304493796,0.15053260304493796
rain_area_10_equiv_radius_km,intensity_index,0.3592308791335144,0.3592308791335144
rain_area_10_equiv_radius_km,track_wind,0.3525959999288823,0.3525959999288823
rain_area_10_equiv_radius_km,track_pressure,-0.3504832157779076,0.3504832157779076
rain_area_10_equiv_radius_km,pressure_deficit,0.3504832157779076,0.3504832157779076
rain_area_10_equiv_radius_km,track_pressure_change_rate,-0.2134526286034528,0.2134526286034528
rain_area_10_grid,intensity_index,0.3617122190088834,0.3617122190088834
rain_area_10_grid,track_pressure,-0.3551029400335638,0.3551029400335638
rain_area_10_grid,pressure_deficit,0.3551029400335638,0.3551029400335638
rain_area_10_grid,track_wind,0.3530400846070768,0.3530400846070768
rain_area_10_grid,track_pressure_change_rate,-0.19847710034473803,0.19847710034473803
rain_area_10_km2,intensity_index,0.3592308791335144,0.3592308791335144
rain_area_10_km2,track_wind,0.3525959999288823,0.3525959999288823
rain_area_10_km2,track_pressure,-0.3504832157779076,0.3504832157779076
rain_area_10_km2,pressure_deficit,0.3504832157779076,0.3504832157779076
rain_area_10_km2,track_pressure_change_rate,-0.2134526286034528,0.2134526286034528
rain_entropy_norm,track_move_dir_sin,-0.1649760847287146,0.1649760847287146
rain_entropy_norm,track_pressure,-0.12191649520626567,0.12191649520626567
rain_entropy_norm,pressure_deficit,0.12191649520626567,0.12191649520626567
rain_entropy_norm,intensity_index,0.11639789026977151,0.11639789026977151
rain_entropy_norm,track_pressure_change_rate,-0.11405598089046677,0.11405598089046677
rain_gini,track_move_dir_sin,0.18728744154021476,0.18728744154021476
rain_gini,track_pressure_change_rate,0.13010609023347547,0.13010609023347547
rain_gini,track_pressure,0.1257045061143316,0.1257045061143316
rain_gini,pressure_deficit,-0.1257045061143316,0.1257045061143316
rain_gini,is_weakening_pressure,0.12394561222094445,0.12394561222094445
rain_max,track_wind,0.18563737935497582,0.18563737935497582
rain_max,intensity_index,0.18563529904935827,0.18563529904935827
rain_max,track_pressure,-0.17480962267587227,0.17480962267587227
rain_max,pressure_deficit,0.17480962267587227,0.17480962267587227
rain_max,track_move_dir_sin,-0.17429373413432192,0.17429373413432192
rain_p95,track_pressure,-0.27388422915623095,0.27388422915623095
rain_p95,pressure_deficit,0.27388422915623095,0.27388422915623095
rain_p95,intensity_index,0.2716424930554332,0.2716424930554332
rain_p95,track_wind,0.25343984728957003,0.25343984728957003
rain_p95,track_pressure_change_rate,-0.1659954222731969,0.1659954222731969
rain_p99,intensity_index,0.3559384570956841,0.3559384570956841
rain_p99,track_pressure,-0.35227187186057396,0.35227187186057396
rain_p99,pressure_deficit,0.35227187186057396,0.35227187186057396
rain_p99,track_wind,0.34377418387655007,0.34377418387655007
rain_p99,track_pressure_change_rate,-0.19371688144082513,0.19371688144082513
