,count,mean,std,min,25%,50%,75%,max
rain_max,33409.0,42.82010021604072,15.437692395371402,2.629999876022339,34.81999969482422,41.54999923706055,48.66999816894531,184.4499969482422
rain_p95,33409.0,2.7955364678793773,1.3928383216633202,0.0,1.7999999523162842,2.679999828338623,3.619999885559082,15.380000114440918
rain_p99,33409.0,9.271302735912736,4.496257528479936,0.3499999940395355,6.339999675750732,8.510000228881836,11.399999618530272,50.54999923706055
rain_area_5_grid,33409.0,1043.2233230566615,607.2923748242819,0.0,610.0,967.0,1386.0,5170.0
rain_area_10_grid,33409.0,359.60959621658833,275.88574890497364,0.0,157.0,300.0,501.0,2758.0
rain_area_20_grid,33409.0,101.15477865245892,116.21039017433179,0.0,22.0,64.0,141.0,1477.0
centroid_offset_km,33409.0,260.75916068338535,146.7439184879363,1.4255570455609117,149.82150680984952,242.0674218786033,344.664283480516,1100.7315956428456
asym_EW,33409.0,0.09144728621079688,0.3948070176396449,-0.9865553868445736,-0.1942331480660477,0.0782738527730055,0.368542209623562,0.9993321888825548
asym_NS,33409.0,-0.0585518703298213,0.4381220472545739,-0.9700716586856688,-0.3994073643811663,-0.122968537042507,0.2540564844090003,0.9822865487853296
r80_km,33409.0,889.4680293341947,209.67235814678074,162.33589273974243,756.0687245691488,922.009021767502,1042.6410160636603,1476.5600012777995
anisotropy,33409.0,0.23807033333759586,0.12477297892772253,0.0017200199822942,0.1444090784781216,0.2215953220496249,0.317689151082088,0.7061628105865575
rain_gini,33409.0,0.9005574735527113,0.03827028701415073,0.7077823412323307,0.876493807432567,0.9039975964039207,0.927862715696202,0.9913686922090152
rain_entropy_norm,33409.0,0.7961990876975322,0.0402054258037787,0.5772991253500683,0.7735783333982502,0.800404846502947,0.8242930862002138,0.9082361968309586
