target_name_norm,target_display_name,rows,actual_start,actual_end,expected_window_start,expected_window_end,min_lat,max_lat,min_lon_180,max_lon_180,min_pressure,max_wind,event_uid
KONGREY,KONG-REY,41,2024-10-24 18:00:00,2024-11-02 12:00:00,2024-10-24,2024-11-02 23:59:59,12.8,34.7,119.9,146.5,920,60,CH2024_0023
MANYI,MAN-YI,47,2024-11-08 12:00:00,2024-11-20 00:00:00,2024-11-08,2024-11-20 23:59:59,10.4,18.8,111.0,163.6,920,62,CH2024_0026
