typhoon_name,n_times,mean_rainband_width_km,median_rainband_width_km,max_rainband_width_km,mean_rainband_width10_km,max_rainband_width10_km,time_of_max_width,time_of_max_width10
KONG-REY,421,503.19833223912184,477.0858166038282,824.0419111156568,205.77321844578,711.0487548958771,2024-10-31 18:30:00,2024-11-02 10:00:00
MAN-YI,553,570.6940505877839,536.3552351624775,1439.1945511619174,245.1036121098962,2224.769394083989,2024-11-19 20:00:00,2024-11-19 16:30:00
