env_setting,RMSE_old,RMSE_new,RMSE_delta,RMSE_pct_delta,MAE_old,MAE_new,MAE_delta,MAE_pct_delta,Corr_old,Corr_new,Corr_delta,Corr_pct_delta,P95_error_old,P95_error_new,P95_error_delta,P95_error_pct_delta,P99_error_old,P99_error_new,P99_error_delta,P99_error_pct_delta,Rmax_error_old,Rmax_error_new,Rmax_error_delta,Rmax_error_pct_delta,A10_error_old,A10_error_new,A10_error_delta,A10_error_pct_delta,A20_error_old,A20_error_new,A20_error_delta,A20_error_pct_delta,CSI10_old,CSI10_new,CSI10_delta,CSI10_pct_delta,F1_10_old,F1_10_new,F1_10_delta,F1_10_pct_delta
base-old,2.681531101371443,2.681531101371443,0.0,0.0,0.9607063291258278,0.9607063291258278,0.0,0.0,0.3531155155944261,0.3531155155944261,0.0,0.0,1.9351397652528248,1.9351397652528248,0.0,0.0,5.922849191445858,5.922849191445858,0.0,0.0,19.078772232681512,19.078772232681512,0.0,0.0,39214.375,39214.375,0.0,0.0,16833.59375,16833.59375,0.0,0.0,0.1096638509608593,0.1096638509608593,0.0,0.0,0.177330024561417,0.177330024561417,0.0,0.0
env-full,2.681531101371443,2.692310819629481,0.010779718258038251,0.4019986287880483,0.9607063291258278,0.9636611049576512,0.002954775831823464,0.30756285685263396,0.3531155155944261,0.3536781414968101,0.0005626259023839841,0.159331968587354,1.9351397652528248,1.9762891931808553,0.041149427928030446,2.1264318302432432,5.922849191445858,6.020594016369432,0.09774482492357439,1.650300754993787,19.078772232681512,18.81791857108474,-0.2608536615967729,-1.3672455355902642,39214.375,38861.875,-352.5,-0.8989050571378481,16833.59375,16856.09375,22.5,0.13366129855664363,0.1096638509608593,0.1084026294040303,-0.0012612215568290064,-1.15007958026128,0.177330024561417,0.1762011543781763,-0.0011288701832407044,-0.6365928082583264
env-key,2.681531101371443,2.680781049820015,-0.0007500515514280437,-0.02797101816363186,0.9607063291258278,0.96144221080013,0.0007358816743022745,0.07659798337873684,0.3531155155944261,0.3527851450459176,-0.00033037054850848513,-0.09355877437227514,1.9351397652528248,1.9507062267861328,0.015566461533307985,0.8044101936623806,5.922849191445858,6.019455243367702,0.09660605192184413,1.6310739780673216,19.078772232681512,18.99240064397454,-0.08637158870697093,-0.4527104137184379,39214.375,39101.5625,-112.8125,-0.28768149434996737,16833.59375,16950.78125,117.1875,0.6961525966491855,0.1096638509608593,0.1093864768699827,-0.0002773740908766087,-0.2529311969680946,0.177330024561417,0.1776973044449886,0.0003672798835716029,0.20711658078206496
