typhoon_name,time,field_index,lat,lon_180,WND,PRES,move_dir_deg,geo_rain_max_mmhr,geo_rain_p95_mmhr_nonzero,geo_area_10_km2,geo_area_20_km2,geo_volume_proxy_mm_km2,geo_max_rain_lon,geo_max_rain_lat
KONG-REY,2024-10-24 18:00:00,0,12.800000190734863,146.5,15.0,1000.0,300.38616943359375,36.69155502319336,2.5163393020629883,27465.737664063192,5445.138639725741,974351.2443279453,146.5,12.5
KONG-REY,2024-10-24 18:30:00,1,12.866666793823242,146.38333129882812,15.250000000008084,999.833333333328,300.38616943359375,39.071041107177734,2.551360845565796,26615.626906257123,6533.553534882578,976607.1664250768,146.3,12.6
KONG-REY,2024-10-24 19:00:00,2,12.933333396911621,146.26666259765625,15.499999999983832,999.6666666666774,300.39288330078125,37.8637580871582,2.5831680297851562,26847.53965442936,5926.110519853909,975720.9104412365,146.2,12.6
KONG-REY,2024-10-24 19:30:00,3,13.0,146.14999389648438,15.749999999991916,999.5000000000052,300.3996276855469,37.776268005371094,2.5378262996673584,27440.206917085645,7979.793028898439,990206.7902943329,146.10000000000002,12.7
KONG-REY,2024-10-24 20:00:00,4,13.066666603088379,146.03334045410156,16.0,999.3333333333334,300.4064025878906,38.14757537841797,2.548196792602539,27435.029850582658,7856.048631672402,980908.0496432706,146.0,12.8
KONG-REY,2024-10-24 20:30:00,5,13.133333206176758,145.9166717529297,16.250000000008086,999.1666666666612,300.4132080078125,40.087894439697266,2.550837278366089,27185.717966233296,5558.260833514365,972164.5914953751,145.8,12.9
KONG-REY,2024-10-24 21:00:00,6,13.199999809265137,145.8000030517578,16.50000000001617,998.9999999999892,300.4200744628906,40.384300231933594,2.5542521476745605,28389.960540190747,6040.804079059636,993968.274715789,145.7,13.0
KONG-REY,2024-10-24 21:30:00,7,13.266666412353516,145.68333435058594,16.749999999991914,998.8333333333388,300.4269714355469,32.7894172668457,2.686309814453125,28261.555105850974,5676.729590046552,1044848.4522784776,145.60000000000002,13.0
KONG-REY,2024-10-24 22:00:00,8,13.333333015441895,145.56666564941406,17.0,998.6666666666666,300.43389892578125,29.894590377807617,2.6972925662994385,29336.914666246717,8087.550658208544,1071899.1093642467,145.39999999999998,13.1
KONG-REY,2024-10-24 22:30:00,9,13.399999618530273,145.4499969482422,17.250000000008086,998.4999999999948,300.44085693359375,32.5938720703125,2.704054117202759,30775.39284715901,7963.024697693684,1088105.926363944,144.7,13.5
KONG-REY,2024-10-24 23:00:00,10,13.466666221618652,145.3333282470703,17.50000000001617,998.3333333333226,300.4478759765625,33.11648941040039,2.7318403720855713,31009.771008067575,9288.895609383319,1105555.5521681504,144.60000000000002,13.5
KONG-REY,2024-10-24 23:30:00,11,13.533333778381348,145.21665954589844,17.750000000024254,998.1666666666504,300.45489501953125,33.70043182373047,2.8444387912750244,31369.305574755093,8443.834404879246,1116255.1250999272,145.0,13.0
KONG-REY,2024-10-25 00:00:00,12,13.600000381469727,145.10000610351562,18.0,998.0,300.46197509765625,35.709083557128906,2.794400691986084,30879.342516764616,8682.951855076597,1104776.6844298402,144.89999999999998,13.1
KONG-REY,2024-10-25 00:30:00,13,13.691666603088379,144.9583282470703,18.0,998.0,303.6745300292969,35.581764221191406,2.7730884552001953,30642.86480647983,7601.161465363466,1086746.1129076222,144.7,13.1
KONG-REY,2024-10-25 01:00:00,14,13.783333778381348,144.81666564941406,18.0,998.0,303.6849365234375,35.613121032714844,2.7452077865600586,30148.94592691247,7116.949317326746,1084145.1720034606,144.60000000000002,13.2
KONG-REY,2024-10-25 01:30:00,15,13.875,144.6750030517578,18.0,998.0,303.6954345703125,35.522918701171875,2.7116575241088867,30013.486708055912,7956.537414746108,1081646.6501428417,144.5,13.3
KONG-REY,2024-10-25 02:00:00,16,13.966666221618652,144.53334045410156,18.0,998.0,303.70599365234375,32.66096878051758,2.6671388149261475,28921.48642910372,7351.141859190511,1072206.319850592,144.3,13.7
KONG-REY,2024-10-25 02:30:00,17,14.058333396911621,144.39166259765625,18.0,998.0,303.71661376953125,35.03531265258789,2.676013708114624,31701.983139096385,7349.306237670726,1091788.6971570856,144.2,13.8
KONG-REY,2024-10-25 03:00:00,18,14.149999618530273,144.25,18.0,998.0,303.7273254394531,28.555334091186523,2.5905003547668457,28539.497755834254,3129.0822026841884,1041113.4895057046,144.10000000000002,13.9
KONG-REY,2024-10-25 03:30:00,19,14.241666793823242,144.10833740234375,18.0,998.0,303.73809814453125,23.73958396911621,2.4947047233581543,19977.68603069867,962.1290573323631,961028.6785545824,144.0,13.9
KONG-REY,2024-10-25 04:00:00,20,14.333333015441895,143.96665954589844,18.0,998.0,303.74896240234375,30.060497283935547,2.46939754486084,21400.42580349783,4206.18333813233,975814.6081835618,143.8,14.1
KONG-REY,2024-10-25 04:30:00,21,14.425000190734863,143.8249969482422,18.0,998.0,303.7598876953125,29.13425636291504,2.4147865772247314,23291.9078434957,2642.3795792633387,960891.1246371521,143.8,14.2
KONG-REY,2024-10-25 05:00:00,22,14.516666412353516,143.68333435058594,18.0,998.0,303.7708740234375,27.17074203491211,2.337226629257202,24480.082986939928,2882.5344137777047,955669.7995001391,143.7,14.2
KONG-REY,2024-10-25 05:30:00,23,14.608333587646484,143.5416717529297,18.0,998.0,303.7819519042969,24.482036590576172,2.300644874572754,25194.097096751444,3843.764272522517,955108.8730310001,143.5,14.3
KONG-REY,2024-10-25 06:00:00,24,14.699999809265137,143.39999389648438,18.0,998.0,303.7931213378906,22.696697235107422,2.274848461151123,23639.721191168865,2520.3621562069557,938051.4948761231,143.2,14.6
KONG-REY,2024-10-25 06:30:00,25,14.75,143.25833129882812,18.0,998.0,290.06634521484375,19.821636199951172,2.184335708618164,21359.74251922321,0.0,920832.6055226111,143.3,14.8
