typhoon_name,key_type,time,field_index,lat,lon_180,WND,PRES,signed_coast_dist_km,final_rain_max_mmhr,final_rain_p95_mmhr,final_rain_p99_mmhr,final_rain_area_10_km2,final_rain_area_20_km2,final_centroid_offset_km,final_anisotropy,reason
KONG-REY,start,2024-10-24 18:00:00,0,12.8,146.5,15.0,1000.0,194.37915273623383,38.28501892089844,2.274096727371216,7.345135688781738,28000.0,5500.0,117.59717560566074,0.4095114687599875,first half-hour field of the target storm period
KONG-REY,wnd_max,2024-10-30 00:00:00,252,19.1,124.8,60.0,920.0,289.14694662167443,44.89861679077149,2.988140344619751,13.237468719482422,59400.0,23600.0,53.51186592282891,0.0830952454718841,maximum WND
KONG-REY,pres_min,2024-10-30 00:00:00,252,19.1,124.8,60.0,920.0,289.14694662167443,44.89861679077149,2.988140344619751,13.237468719482422,59400.0,23600.0,53.51186592282891,0.0830952454718841,minimum PRES
KONG-REY,rain_p95_max,2024-10-30 09:00:00,270,20.1,124.0,60.0,920.0,223.25285957493315,51.17125701904297,3.880920648574829,16.821271896362305,87800.0,30600.0,38.43597949597259,0.1813060531609078,maximum final_rain_p95_mmhr
KONG-REY,rain_max_max,2024-10-26 23:00:00,106,16.7,132.73333333332903,18.0,998.0,946.3363768656068,53.73284530639648,2.0603175163269043,8.811477661132812,36000.0,10700.0,141.58231368086652,0.3646840644477654,maximum final_rain_max_mmhr
KONG-REY,area10_max,2024-10-30 09:00:00,270,20.1,124.0,60.0,920.0,223.25285957493315,51.17125701904297,3.880920648574829,16.821271896362305,87800.0,30600.0,38.43597949597259,0.1813060531609078,maximum final_rain_area_10_km2
KONG-REY,near_land_or_min_coast_dist,2024-10-31 10:30:00,321,23.85000000000539,120.24999999999676,39.99999999995688,960.0000000001078,0.0870139223672037,42.80922317504883,2.3158864974975586,8.122109413146973,32600.0,11800.0,26.945220201380373,0.196756174289817,minimum absolute signed coast distance
KONG-REY,end,2024-11-02 12:00:00,420,34.7,140.5,15.0,1004.0,61.72527274186754,15.820716857910156,2.711655616760254,4.3149733543396,14900.0,0.0,332.77301377886573,0.2006701129802419,last half-hour field of the target storm period
MAN-YI,start,2024-11-08 12:00:00,421,11.6,163.60000000000002,13.0,1005.0,187.58199391421329,21.871252059936523,2.7144222259521484,6.399731636047363,26400.0,600.0,40.290824760081506,0.0366493127812105,first half-hour field of the target storm period
MAN-YI,wnd_max,2024-11-16 00:00:00,781,12.5,126.7,62.0,920.0,134.25936100461996,42.837196350097656,3.782539129257202,11.69430446624756,57500.0,19400.0,55.92328462712415,0.3685433852721022,maximum WND
MAN-YI,pres_min,2024-11-16 00:00:00,781,12.5,126.7,62.0,920.0,134.25936100461996,42.837196350097656,3.782539129257202,11.69430446624756,57500.0,19400.0,55.92328462712415,0.3685433852721022,minimum PRES
MAN-YI,rain_p95_max,2024-11-14 03:30:00,692,10.624999999999462,137.59999999999786,24.16666666667026,992.0833333333244,148.0371087843535,46.55037307739258,4.993075370788574,17.132339477539062,114300.0,29000.0,73.52214610861738,0.2164490723238016,maximum final_rain_p95_mmhr
MAN-YI,rain_max_max,2024-11-14 10:30:00,706,10.5,135.60000000001077,27.24999999998383,988.5000000000108,244.6794946933804,54.40535736083984,4.259542942047119,14.216278076171877,63800.0,21700.0,134.39188440535153,0.2133875907496581,maximum final_rain_max_mmhr
MAN-YI,area10_max,2024-11-14 04:00:00,693,10.599999999998923,137.49999999999568,24.33333333334052,991.6666666666488,149.5423321116717,45.982666015625,4.990387439727783,17.139930725097656,115500.0,25900.0,71.83258016201192,0.2209223870073706,maximum final_rain_area_10_km2
MAN-YI,near_land_or_min_coast_dist,2024-11-17 08:30:00,846,16.133333333331898,121.40000000000214,53.8333333333513,938.3333333332974,-1.3378657343494709,45.69832611083984,3.12383770942688,10.274245262145996,42300.0,15100.0,2.207493933131981,0.2936568731898014,minimum absolute signed coast distance
MAN-YI,end,2024-11-20 00:00:00,973,17.0,111.0,13.0,1005.0,86.22387672112262,13.70895290374756,1.2781224250793457,2.0565643310546875,2300.0,0.0,202.24847294869232,0.224821347135424,last half-hour field of the target storm period
