event_uid,source_file,typhoon_id,storm_seq,typhoon_code,record_count,typhoon_name,time,intensity,lat,lon,lon_180,pressure,wind,dt_h,move_distance_km,move_speed_kmh,move_dir_deg,wind_change_rate,pressure_change_rate,name_norm
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-08 12:00:00,1,11.6,163.6,163.6,1005,13,,,,,,,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-08 18:00:00,1,12.4,162.0,162.0,1002,15,6.0,195.4402633178394,32.5733772196399,297.23941501693406,0.3333333333333333,-0.5,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-09 00:00:00,1,13.7,160.4,160.4,1002,15,6.0,225.683142266996,37.61385704449933,310.00770055326564,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-09 06:00:00,2,14.6,159.2,159.2,1000,18,6.0,163.57025383048284,27.26170897174714,307.8661828573989,0.5,-0.3333333333333333,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-09 12:00:00,2,15.1,158.5,158.5,998,20,6.0,93.54995307527744,15.591658845879572,306.55245903126485,0.3333333333333333,-0.3333333333333333,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-09 18:00:00,2,15.8,157.3,157.3,995,23,6.0,150.3305570143509,25.055092835725148,301.3412295035581,0.5,-0.5,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-10 00:00:00,2,15.9,156.2,156.2,995,23,6.0,118.1881142214564,19.6980190369094,275.54859106453046,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-10 06:00:00,2,15.8,155.6,155.6,995,23,6.0,65.13647209009567,10.856078681682613,260.2528876310846,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-10 12:00:00,2,15.6,154.8,154.8,995,23,6.0,88.47754561469408,14.746257602449012,255.55097674704575,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-10 18:00:00,2,15.4,154.0,154.0,995,23,6.0,88.5583722192407,14.759728703206784,255.56321104670815,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-11 00:00:00,2,15.1,153.1,153.1,995,23,6.0,102.15156804384584,17.025261340640974,251.05875583076045,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-11 06:00:00,2,14.5,152.5,152.5,995,23,6.0,92.79982219026056,15.466637031710096,224.11064751956533,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-11 12:00:00,2,14.3,151.7,151.7,995,23,6.0,88.9849031630262,14.8308171938377,255.62702797001552,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-11 18:00:00,2,14.2,150.4,150.4,995,23,6.0,140.54598217582404,23.42433036263734,265.6224287307761,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-12 00:00:00,2,14.1,149.0,149.0,995,23,6.0,151.3583842323646,25.226397372060763,265.95833666797427,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-12 06:00:00,2,14.1,147.5,147.5,998,20,6.0,161.76699720070795,26.96116620011799,270.1827210758056,-0.5,0.5,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-12 12:00:00,2,14.0,146.4,146.4,998,20,6.0,119.17504500231372,19.86250750038562,264.7799914213948,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-12 18:00:00,2,13.4,145.1,145.1,998,20,6.0,155.48148402772543,25.913580671287573,244.7447568672718,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-13 00:00:00,2,12.6,144.1,144.1,998,20,6.0,140.18403597527768,23.364005995879612,230.72594562506296,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-13 06:00:00,2,12.2,142.8,142.8,1000,18,6.0,148.0213433117093,24.670223885284884,252.65373146719537,-0.3333333333333333,0.3333333333333333,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-13 12:00:00,2,11.8,141.3,141.3,998,20,6.0,169.10125063830858,28.18354177305143,254.90718364484815,0.3333333333333333,-0.3333333333333333,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-13 18:00:00,2,11.4,139.5,139.5,995,23,6.0,201.0438310279557,33.507305171325946,257.4004840345383,0.5,-0.5,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-14 00:00:00,2,10.8,138.3,138.3,995,23,6.0,146.95455235659938,24.492425392766563,243.116174621242,0.0,0.0,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-14 06:00:00,3,10.5,137.1,137.1,990,25,6.0,135.3115904302791,22.55193173837985,255.83911283044264,0.3333333333333333,-0.8333333333333334,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-14 12:00:00,3,10.5,135.1,135.1,988,28,6.0,218.66554591478305,36.44425765246384,270.18225341708694,0.5,-0.3333333333333333,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-14 18:00:00,4,10.4,133.4,133.4,980,33,6.0,186.2280314685299,31.038005244754988,266.73132664178615,0.8333333333333334,-1.3333333333333333,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-15 00:00:00,4,10.6,131.9,131.9,970,38,6.0,165.50017016929286,27.583361694882143,277.85867904288983,0.8333333333333334,-1.6666666666666667,MANYI
CH2024_0026,CH2024BST.txt,2424,26,2424,47,MAN-YI,2024-11-15 06:00:00,5,10.9,130.4,130.4,960,42,6.0,167.2258557257898,27.870975954298306,281.64586834519787,0.6666666666666666,-1.6666666666666667,MANYI
