scenario_id,scenario_name,n_times,mean_rainband_width_km,median_rainband_width_km,max_rainband_width_km,mean_rainband_width10_km,max_rainband_width10_km,time_of_max_width,time_of_max_width10
S0,baseline_kong_rey,421,510.7756288930754,490.96028793404946,1220.3179776918212,218.36509636357732,1132.311870315887,2024-11-01 00:30:00,2024-11-01 00:30:00
S1,intensity_enhanced,421,534.3266748766785,493.78319016384836,1438.580361993091,250.3671634199296,1868.9162387779577,2024-11-01 07:00:00,2024-11-01 09:30:00
S2,near_coast_westward_path_shift,421,513.8633186406446,500.27731740710294,986.7340391082024,210.07700376537747,1020.335667314611,2024-11-01 03:30:00,2024-11-01 03:30:00
S3,nearshore_segment_landfall_shift,421,515.1620008967185,490.7570390825186,1267.5833459540665,219.6611357539875,1356.5000464725822,2024-11-01 02:30:00,2024-11-01 00:30:00
S4,slower_translation,647,521.3288197356214,482.9768241888002,1103.678356720404,222.37167961298442,1152.736982235933,2024-11-04 21:00:00,2024-11-07 04:00:00
S5,compound_moderate_high_risk,510,504.511880910432,471.95695177538926,873.1413367240278,205.8831646673324,965.1749188473572,2024-11-02 08:00:00,2024-11-04 02:00:00
