field_index,scenario_id,scenario_name,time,rainband_width_km,rainband_length_km,rainband_aspect_ratio,rainband_width10_km,rainband_length10_km,rainband_aspect_ratio10,rainband_valid_grid_count,rainband_weight_sum,rainband10_valid_grid_count,rainband10_weight_sum
37,S0,baseline_kong_rey,2024-10-25 12:30:00,571.8107727821555,676.0757334815465,1.18234172153156,216.29339797930615,289.0648084988492,1.3364476733890143,3355,13185.541029572487,320,3616.6389665603638
38,S0,baseline_kong_rey,2024-10-25 13:00:00,580.1328548541555,689.9354575968819,1.189271477772672,162.84773571605422,350.29901477960834,2.151083116012108,3339,13494.733368039131,315,3730.458827018738
39,S0,baseline_kong_rey,2024-10-25 13:30:00,537.7838615034176,749.1681727633669,1.393065553638977,138.83589657927286,363.11215831667676,2.6154054337765844,3225,13122.399870634079,301,3639.697561264038
40,S0,baseline_kong_rey,2024-10-25 14:00:00,542.8575571873189,660.2083091468024,1.2161722728288171,124.19678122134984,334.8055818979566,2.6957669804763,3127,12544.991198420525,263,3210.744342803955
41,S0,baseline_kong_rey,2024-10-25 14:30:00,511.7047043023525,646.8971837434233,1.2642001887111591,142.77761140638236,309.37045300152914,2.1667994719492674,3146,12686.017141580582,271,3347.143762588501
42,S0,baseline_kong_rey,2024-10-25 15:00:00,497.844660210445,582.43315489346,1.1699094144090192,133.18787029268472,266.27462221688313,1.9992407839522766,2955,12243.196887254715,224,3137.896725654602
43,S0,baseline_kong_rey,2024-10-25 15:30:00,504.62846209407195,561.909896675993,1.1135120962940088,146.32409272991327,228.99154615607324,1.5649613258067279,2984,12264.002391815186,241,3472.168502807617
44,S0,baseline_kong_rey,2024-10-25 16:00:00,582.934954282046,776.139192238361,1.3314336128535436,209.74967819083372,232.37357310088663,1.1078614046285602,3702,15809.269238471985,350,5059.761477470398
45,S0,baseline_kong_rey,2024-10-25 16:30:00,601.1487551829773,772.006329946171,1.2842184622193669,179.75858608915613,204.52787116292387,1.1377919442550668,3658,15088.294346570969,282,4404.901495933533
46,S0,baseline_kong_rey,2024-10-25 17:00:00,513.7401202524375,720.7535103415025,1.4029535205218995,136.62300179545815,257.50481704127924,1.8847837747467628,3676,16687.579530119896,327,6158.432394981384
47,S0,baseline_kong_rey,2024-10-25 17:30:00,506.049906436162,762.8761736473956,1.5075117373697817,146.30737701914117,260.05198213634304,1.7774358848789906,3695,17042.78367459774,345,6483.180118560791
48,S0,baseline_kong_rey,2024-10-25 18:00:00,504.20682976506936,781.5495368369532,1.5500574183041265,148.6268548668005,265.66529188363046,1.7874649377578373,3741,17259.491964936256,360,6600.285164833069
49,S0,baseline_kong_rey,2024-10-25 18:30:00,593.0443817004738,683.0052734567024,1.151693354717023,172.57330458442016,286.02831580228525,1.6574308320228233,3819,18270.940729022026,391,6133.11828994751
50,S0,baseline_kong_rey,2024-10-25 19:00:00,598.047143831544,675.7634751183997,1.129950175481058,172.24869533584143,283.8210783140956,1.6477400758288159,3809,18513.15296947956,397,6371.265535354614
51,S0,baseline_kong_rey,2024-10-25 19:30:00,605.3950826555539,658.428796936792,1.0876018253214175,175.4834139017295,283.91002284023926,1.617873829370717,3822,18850.476384162903,405,6646.580461502075
52,S0,baseline_kong_rey,2024-10-25 20:00:00,602.5282104546934,663.0834037837204,1.1005018392140151,185.21045989417755,266.24176877980767,1.43750935520557,3806,18378.965756893158,395,6217.228925704956
53,S0,baseline_kong_rey,2024-10-25 20:30:00,602.5581946537544,615.169893048899,1.0209302578689359,194.2450805514373,271.37697228542356,1.397085432048097,3813,19384.766729712486,441,7148.809259414673
54,S0,baseline_kong_rey,2024-10-25 21:00:00,544.4939958525154,618.9773861624037,1.1367937771164371,177.22261859807008,274.8021598584466,1.5506043304871786,3703,18367.25967681408,415,6595.189929008484
55,S0,baseline_kong_rey,2024-10-25 21:30:00,537.0129120647023,620.1091673688143,1.154737909344904,173.4912097181431,268.24543151572465,1.5461615141857585,3628,17182.68901538849,376,5576.93505191803
56,S0,baseline_kong_rey,2024-10-25 22:00:00,580.6254630899639,643.5766102166488,1.1084195425940697,198.80770317168142,268.1726627411418,1.3489047882091296,3689,16706.884984731674,358,4801.323670387268
57,S0,baseline_kong_rey,2024-10-25 22:30:00,580.9857661279863,668.1537753703856,1.1500346726621797,207.16869714543608,277.1373838464111,1.3377377357924611,3694,16275.495736122131,346,4279.418322563171
58,S0,baseline_kong_rey,2024-10-25 23:00:00,569.6899404226602,646.9357729457437,1.1355927620308208,231.03632868651897,279.932124007728,1.2116368261181643,3582,16282.399126410484,348,4337.297947883606
59,S0,baseline_kong_rey,2024-10-25 23:30:00,546.7703937835449,634.6222964801449,1.160674212970239,223.5180026754784,240.73307026975198,1.077018707165466,3504,16370.49711716175,344,4478.750022888184
60,S0,baseline_kong_rey,2024-10-26 00:00:00,543.2640223028675,623.8710440307956,1.1483754094118694,211.22959932362963,232.38997981343897,1.1001771558416298,3541,16519.875261187553,334,4562.759101867676
61,S0,baseline_kong_rey,2024-10-26 00:30:00,451.4368212658669,598.6754833092476,1.3261556326542212,196.17336783521654,228.92995907158428,1.1669777686840843,3237,17002.12157356739,412,6951.271945953369
62,S0,baseline_kong_rey,2024-10-26 01:00:00,449.3950815433625,598.5504833791647,1.3319026130049194,198.02870703779024,224.74900435168692,1.1349314334956317,3227,16807.212778925896,405,6796.608209609985
63,S0,baseline_kong_rey,2024-10-26 01:30:00,445.6657377830516,606.7924977445299,1.3615417257853302,195.54825117325922,226.50697369764046,1.1583175627428655,3268,16960.24421954155,405,6868.939562797546
64,S0,baseline_kong_rey,2024-10-26 02:00:00,444.9104366088062,588.7531555645807,1.3233071358185486,199.1607531158229,234.38958402956473,1.1768864114168778,3298,17198.60549890995,425,7156.960391998291
65,S0,baseline_kong_rey,2024-10-26 02:30:00,452.10104057683753,575.6938167153952,1.2733742350622856,198.81151562647685,241.8839210379735,1.216649449483696,3311,17349.989604592323,425,7247.703427314758
66,S0,baseline_kong_rey,2024-10-26 03:00:00,456.829588552442,570.2146079972267,1.2481998151741158,194.8814338432193,255.75683508489567,1.3123714765494228,3346,17480.200226068497,446,7584.5626401901245
67,S0,baseline_kong_rey,2024-10-26 03:30:00,457.22112197945506,581.8757614611578,1.2726353475142007,187.44083385142332,278.8408482965045,1.4876206137533976,3415,18158.578933358192,481,8423.982367515564
68,S0,baseline_kong_rey,2024-10-26 04:00:00,468.48941843379686,612.7256642905561,1.3078751412122667,177.42437745998814,308.40298207124613,1.7382221456056337,3500,18742.440806150436,501,8954.777927398682
69,S0,baseline_kong_rey,2024-10-26 04:30:00,485.1360319491401,592.0416485762636,1.2203621450206565,176.18316508639438,302.09754494754367,1.7146788389197307,3585,19108.341895461082,492,9026.47681236267
70,S0,baseline_kong_rey,2024-10-26 05:00:00,491.18678943106926,587.1556270660641,1.195381552802249,180.98760571975933,295.0306446520682,1.6301151865000698,3550,19098.403322577477,489,8807.564922332764
