,rain_max,rain_p95,rain_p99,rain_area_10_grid,rain_area_10_km2,rain_area_10_equiv_radius_km,centroid_offset_km,centroid_relative_to_motion_deg,asym_EW,asym_NS,r80_km,anisotropy,rain_gini,rain_entropy_norm
track_wind,0.18520614374598016,0.2539728256415589,0.3432741268978229,0.35261746040081665,0.35197946181769757,0.35197946181769757,-0.20979106142617193,-0.027652928321553454,0.009080294504664028,0.015013207565215417,-0.23143571570114185,-0.025456397475373906,-0.10371258986488872,0.09596280393707506
track_pressure,-0.1745610357716456,-0.27392964162538685,-0.35159633754067793,-0.35446229701173404,-0.3496212161655174,-0.3496212161655174,0.1971381645774857,-0.0023742948881426353,-0.029787809058660148,-0.002885779084628448,0.2514348536164935,0.02243262296637426,0.12557062132143862,-0.12200978999160032
pressure_deficit,0.1745610357716456,0.27392964162538685,0.35159633754067793,0.35446229701173404,0.3496212161655174,0.3496212161655174,-0.1971381645774857,0.0023742948881426353,0.029787809058660148,0.002885779084628448,-0.2514348536164935,-0.02243262296637426,-0.12557062132143862,0.12200978999160032
intensity_index,0.18496436796490084,0.2712802077368416,0.35518381803024207,0.36103795991440696,0.3583081518994219,0.3583081518994219,-0.20650554713378824,-0.016028369119342828,0.015104814353410706,0.006471519271644159,-0.24616683838111217,-0.027451712278756507,-0.1221001245863828,0.11613843791033353
track_move_speed_kmh,-0.07925863501237763,0.030443544512147494,-0.002232097265994253,-0.012089007081671007,-0.029673661405860682,-0.029673661405860682,0.07401825282349467,-0.06672396540951754,-0.013562306519627488,0.07227459131098665,-0.06678444315790204,-0.026287356291690978,0.005548582509602591,0.00751501648246065
track_move_dir_sin,-0.17406401843093627,-0.15817559921532556,-0.1619927019054132,-0.16827631091778567,-0.19929321288145913,-0.19929321288145913,0.16973530549986407,0.26864876645590663,0.39523231542061515,0.36226827973749387,-0.060016940912568574,0.21467224627932224,0.18755980471182085,-0.1647769831601607
track_move_dir_cos,0.005186732203846862,0.06765662863331301,0.058402488480616924,0.05394617367531703,0.04025595658463722,0.04025595658463722,0.017005643449756948,0.15112319973540406,0.08009751317213076,0.16418172911272352,-0.06709544887956348,0.11632365200983975,-0.0072241108677234605,0.01853723536208944
track_wind_change_rate,0.1369861610455807,0.13785510723112945,0.16965752885093865,0.17415293008518168,0.1907849563384987,0.1907849563384987,-0.1481413210221991,-0.11613819158355063,-0.17421810017531603,-0.2445324668553683,-0.03551023676327931,-0.08317346569160532,-0.11208762340742427,0.09462995541905074
track_pressure_change_rate,-0.14032600645923146,-0.15705850290946094,-0.1784191174868976,-0.1831284180225042,-0.1987019000117232,-0.1987019000117232,0.15576502008373713,0.11811095097561605,0.1837867192670202,0.25817457566679425,0.03825358673935534,0.08942754913892816,0.1298679930973195,-0.11390078194182407
is_intensifying_wind,0.1391694248508958,0.15356642348635657,0.18466326696149263,0.19046152333386715,0.20493442981293541,0.20493442981293541,-0.17127002946898295,-0.11665837026426486,-0.15963181869420104,-0.20524555425497454,-0.06689312963240822,-0.08704211258242221,-0.09640595464048708,0.08327255007025118
is_weakening_wind,-0.09890423916179954,-0.06834197154697312,-0.09007285049283292,-0.09142392638575839,-0.10486910532167909,-0.10486910532167909,0.07647248065421863,0.07000415678264962,0.14193458978099316,0.21077616088838447,-0.007885150717726247,0.05115000867470572,0.08571199694393779,-0.06850099050494467
is_intensifying_pressure,0.13000884196961338,0.16141277323762526,0.18391910311044693,0.18905108130035048,0.20225818911915078,0.20225818911915078,-0.16826917664906466,-0.11184095166132277,-0.15110159170961454,-0.19719897563515276,-0.0772287271450089,-0.08694243316085846,-0.10469792770791313,0.09344468060895052
is_weakening_pressure,-0.12203821780151758,-0.10721674694441474,-0.11948393200316151,-0.12150520122033161,-0.13483561582983764,-0.13483561582983764,0.1001492764822825,0.07914956455430049,0.16853753505058447,0.24162162600790069,-0.007881318952804734,0.0669532102929581,0.12135448947661229,-0.10423946755467665
track_is_land,-0.06777328010338854,-0.045285577612987654,-0.10653543449624492,-0.12812683767454783,-0.13782120585077498,-0.13782120585077498,0.07118883765817506,0.038977000264390514,0.0403795443338933,0.06209439647705514,0.08017228047272405,0.015384539123770863,0.06871807016027337,-0.04901133839751915
track_coast_dist_km,-0.03914191426140312,-0.07716873487252521,-0.025521603948309265,-0.01276314491021466,-0.007492722217840239,-0.007492722217840239,-0.04553144135160998,-0.053967683518853296,-0.04041869495977902,-0.08014178303050179,-0.028277359107026577,0.022521087518730516,-0.02770432096104482,0.005080242943671833
