,rain_max,rain_max,rain_max,rain_max,rain_p95,rain_p95,rain_p95,rain_p95,rain_p99,rain_p99,rain_p99,rain_p99,rain_area_10_grid,rain_area_10_grid,rain_area_10_grid,rain_area_10_grid,rain_area_10_km2,rain_area_10_km2,rain_area_10_km2,rain_area_10_km2,rain_area_10_equiv_radius_km,rain_area_10_equiv_radius_km,rain_area_10_equiv_radius_km,rain_area_10_equiv_radius_km,centroid_offset_km,centroid_offset_km,centroid_offset_km,centroid_offset_km,centroid_relative_to_motion_deg,centroid_relative_to_motion_deg,centroid_relative_to_motion_deg,centroid_relative_to_motion_deg,asym_EW,asym_EW,asym_EW,asym_EW,asym_NS,asym_NS,asym_NS,asym_NS,r80_km,r80_km,r80_km,r80_km,anisotropy,anisotropy,anisotropy,anisotropy,rain_gini,rain_gini,rain_gini,rain_gini,rain_entropy_norm,rain_entropy_norm,rain_entropy_norm,rain_entropy_norm
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
is_near_coast_100km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42.439417876503704,41.39999771118164,15.23997411971442,22592,2.75615388531503,2.6399998664855957,1.3912517280582084,22592,9.267937558209761,8.539999961853027,4.606553004785123,22592,359.71392528328613,305.0,277.44549078784866,22592,41474.89859384775,35068.38341365328,32466.72523452548,22592,105.3760407270086,105.65326842313183,45.802326904018116,22592,254.81226951653815,236.2329061720697,143.92456853935272,22592,-24.816509207186645,-46.18759409639381,100.84773802900374,22503,0.08167774250606936,0.07008196791662491,0.38305016767407296,22592,-0.07600983180217595,-0.13851069277717085,0.42591823197084616,22592,883.6202167613084,912.6581482693398,209.76190196457438,22592,0.23863265280284565,0.22391906226275615,0.1225554360376064,22592,0.9000441333461343,0.903463510194811,0.03822045237327769,22592,0.796375080822546,0.8006469732116362,0.040077745735202,22592
1,43.60468871887645,41.96499824523926,15.81337852606401,10828,2.8783791353299906,2.7699999809265137,1.3932823608534366,10828,9.277664184138196,8.460000038146973,4.255604452314283,10828,359.386405615072,291.0,272.6010206453844,10828,40851.243383799156,33136.047337091324,31079.19371228806,10828,105.38008480014201,102.70117553014576,43.57255670949119,10828,273.37281094963834,255.2419246644106,151.8124950117438,10828,-20.055049469326047,-32.06238871494128,98.90944524417984,10807,0.11227760616886127,0.09621035248991336,0.41774422670235617,10828,-0.021359926902872,-0.0843350985513226,0.4609549842527407,10828,901.6385985620506,943.7311534205537,208.90511888718112,10828,0.2369108820508928,0.2160777993682827,0.12925415497613213,10828,0.9016069596488677,0.9053617322314385,0.03837105645505908,10828,0.7958538949346332,0.799847820546165,0.04047256344446085,10828
