target,feature,importance_mean,importance_std,train_r2,test_r2
anisotropy,track_move_dir_sin,0.49380609980548174,0.008325754525840357,0.699089023603232,0.6364250168119814
anisotropy,track_move_speed_kmh,0.33895626822677444,0.003580238775140324,0.699089023603232,0.6364250168119814
anisotropy,month_cos,0.33672043984894157,0.006393895784866632,0.699089023603232,0.6364250168119814
anisotropy,track_move_dir_cos,0.15464185950775355,0.0027742979979853244,0.699089023603232,0.6364250168119814
anisotropy,month_sin,0.128333851221472,0.0027559771938639012,0.699089023603232,0.6364250168119814
centroid_offset_km,track_move_dir_sin,0.3005873519788634,0.006591585296507532,0.7038757173475567,0.671792230316155
centroid_offset_km,track_move_speed_kmh,0.23998576811579597,0.007575839633339062,0.7038757173475567,0.671792230316155
centroid_offset_km,month_cos,0.20318418441796315,0.0065836615006134615,0.7038757173475567,0.671792230316155
centroid_offset_km,intensity_index,0.19063549937469837,0.004230910494329728,0.7038757173475567,0.671792230316155
centroid_offset_km,track_move_dir_cos,0.16308658181311114,0.004270602641598804,0.7038757173475567,0.671792230316155
rain_area_10_equiv_radius_km,track_wind,0.3708825011990622,0.010810217217169155,0.7055036989606173,0.6420279710011152
rain_area_10_equiv_radius_km,track_move_dir_sin,0.3391854264447276,0.008233734789139692,0.7055036989606173,0.6420279710011152
rain_area_10_equiv_radius_km,month_cos,0.1454386358984577,0.004234804000711594,0.7055036989606173,0.6420279710011152
rain_area_10_equiv_radius_km,track_signed_coast_dist_km,0.13937523505949406,0.002564894791689256,0.7055036989606173,0.6420279710011152
rain_area_10_equiv_radius_km,track_pressure,0.1247774245036177,0.0032976311873642162,0.7055036989606173,0.6420279710011152
rain_area_10_km2,track_move_dir_sin,0.28523789709826736,0.00822117556838196,0.6514477781385094,0.5841262777445373
rain_area_10_km2,track_wind,0.22355501933289962,0.007331048927707295,0.6514477781385094,0.5841262777445373
rain_area_10_km2,month_cos,0.15444564209569855,0.004211979822507356,0.6514477781385094,0.5841262777445373
rain_area_10_km2,pressure_deficit,0.15340894195572108,0.005007046649859807,0.6514477781385094,0.5841262777445373
rain_area_10_km2,track_move_dir_cos,0.14274198990237755,0.005651175724830666,0.6514477781385094,0.5841262777445373
rain_max,track_move_dir_sin,0.2761035075562608,0.008814482960832499,0.49648080996091204,0.4061738057738784
rain_max,track_wind,0.14088870071075954,0.004535205773750175,0.49648080996091204,0.4061738057738784
rain_max,track_move_speed_kmh,0.10335581573360919,0.0022734613537118246,0.49648080996091204,0.4061738057738784
rain_max,month_cos,0.0668080354045326,0.0031591535403531126,0.49648080996091204,0.4061738057738784
rain_max,pressure_deficit,0.06575623515475998,0.002588386260445038,0.49648080996091204,0.4061738057738784
rain_p95,track_move_dir_sin,0.29796235001294946,0.008123716861984952,0.6963637822454863,0.6481773980263936
rain_p95,month_cos,0.23893830197907712,0.004864450036441353,0.6963637822454863,0.6481773980263936
rain_p95,intensity_index,0.22790912465313157,0.0075624956530075905,0.6963637822454863,0.6481773980263936
rain_p95,track_move_dir_cos,0.19136296048657933,0.004831341546078403,0.6963637822454863,0.6481773980263936
rain_p95,track_move_speed_kmh,0.14988816485964146,0.0037401611613666567,0.6963637822454863,0.6481773980263936
