rain_feature,typhoon_factor,spearman_corr,abs_corr
anisotropy,track_move_dir_sin,0.21467224627932224,0.21467224627932224
anisotropy,month_sin,-0.11793655262229365,0.11793655262229365
anisotropy,track_move_dir_cos,0.11632365200983975,0.11632365200983975
anisotropy,month_cos,0.09209440283026987,0.09209440283026987
anisotropy,track_pressure_change_rate,0.08942754913892816,0.08942754913892816
asym_EW,track_move_dir_sin,0.39523231542061515,0.39523231542061515
asym_EW,track_pressure_change_rate,0.1837867192670202,0.1837867192670202
asym_EW,track_wind_change_rate,-0.17421810017531603,0.17421810017531603
asym_EW,is_weakening_pressure,0.16853753505058447,0.16853753505058447
asym_EW,is_intensifying_wind,-0.15963181869420104,0.15963181869420104
asym_NS,track_move_dir_sin,0.36226827973749387,0.36226827973749387
asym_NS,month_cos,0.3145336172306935,0.3145336172306935
asym_NS,track_pressure_change_rate,0.25817457566679425,0.25817457566679425
asym_NS,track_wind_change_rate,-0.2445324668553683,0.2445324668553683
asym_NS,is_weakening_pressure,0.24162162600790069,0.24162162600790069
centroid_offset_km,track_wind,-0.20979106142617193,0.20979106142617193
centroid_offset_km,intensity_index,-0.20650554713378824,0.20650554713378824
centroid_offset_km,track_pressure,0.1971381645774857,0.1971381645774857
centroid_offset_km,pressure_deficit,-0.1971381645774857,0.1971381645774857
centroid_offset_km,is_intensifying_wind,-0.17127002946898295,0.17127002946898295
centroid_relative_to_motion_deg,track_move_dir_sin,0.26864876645590663,0.26864876645590663
centroid_relative_to_motion_deg,track_move_dir_cos,0.15112319973540406,0.15112319973540406
centroid_relative_to_motion_deg,month_cos,0.14506919993069833,0.14506919993069833
centroid_relative_to_motion_deg,track_pressure_change_rate,0.11811095097561605,0.11811095097561605
centroid_relative_to_motion_deg,is_intensifying_wind,-0.11665837026426486,0.11665837026426486
r80_km,track_pressure,0.2514348536164935,0.2514348536164935
r80_km,pressure_deficit,-0.2514348536164935,0.2514348536164935
r80_km,intensity_index,-0.24616683838111217,0.24616683838111217
r80_km,track_wind,-0.23143571570114185,0.23143571570114185
r80_km,month_cos,-0.15052392079012872,0.15052392079012872
rain_area_10_equiv_radius_km,intensity_index,0.3583081518994219,0.3583081518994219
rain_area_10_equiv_radius_km,track_wind,0.35197946181769757,0.35197946181769757
rain_area_10_equiv_radius_km,track_pressure,-0.3496212161655174,0.3496212161655174
rain_area_10_equiv_radius_km,pressure_deficit,0.3496212161655174,0.3496212161655174
rain_area_10_equiv_radius_km,is_intensifying_wind,0.20493442981293541,0.20493442981293541
rain_area_10_grid,intensity_index,0.36103795991440696,0.36103795991440696
rain_area_10_grid,track_pressure,-0.35446229701173404,0.35446229701173404
rain_area_10_grid,pressure_deficit,0.35446229701173404,0.35446229701173404
rain_area_10_grid,track_wind,0.35261746040081665,0.35261746040081665
rain_area_10_grid,is_intensifying_wind,0.19046152333386715,0.19046152333386715
rain_area_10_km2,intensity_index,0.3583081518994219,0.3583081518994219
rain_area_10_km2,track_wind,0.35197946181769757,0.35197946181769757
rain_area_10_km2,track_pressure,-0.3496212161655174,0.3496212161655174
rain_area_10_km2,pressure_deficit,0.3496212161655174,0.3496212161655174
rain_area_10_km2,is_intensifying_wind,0.20493442981293541,0.20493442981293541
rain_entropy_norm,track_move_dir_sin,-0.1647769831601607,0.1647769831601607
rain_entropy_norm,track_pressure,-0.12200978999160032,0.12200978999160032
rain_entropy_norm,pressure_deficit,0.12200978999160032,0.12200978999160032
rain_entropy_norm,intensity_index,0.11613843791033353,0.11613843791033353
rain_entropy_norm,track_pressure_change_rate,-0.11390078194182407,0.11390078194182407
rain_gini,track_move_dir_sin,0.18755980471182085,0.18755980471182085
rain_gini,track_pressure_change_rate,0.1298679930973195,0.1298679930973195
rain_gini,track_pressure,0.12557062132143862,0.12557062132143862
rain_gini,pressure_deficit,-0.12557062132143862,0.12557062132143862
rain_gini,intensity_index,-0.1221001245863828,0.1221001245863828
rain_max,track_wind,0.18520614374598016,0.18520614374598016
rain_max,intensity_index,0.18496436796490084,0.18496436796490084
rain_max,track_pressure,-0.1745610357716456,0.1745610357716456
rain_max,pressure_deficit,0.1745610357716456,0.1745610357716456
rain_max,track_move_dir_sin,-0.17406401843093627,0.17406401843093627
rain_p95,track_pressure,-0.27392964162538685,0.27392964162538685
rain_p95,pressure_deficit,0.27392964162538685,0.27392964162538685
rain_p95,intensity_index,0.2712802077368416,0.2712802077368416
rain_p95,track_wind,0.2539728256415589,0.2539728256415589
rain_p95,is_intensifying_pressure,0.16141277323762526,0.16141277323762526
rain_p99,intensity_index,0.35518381803024207,0.35518381803024207
rain_p99,track_pressure,-0.35159633754067793,0.35159633754067793
rain_p99,pressure_deficit,0.35159633754067793,0.35159633754067793
rain_p99,track_wind,0.3432741268978229,0.3432741268978229
rain_p99,is_intensifying_wind,0.18466326696149263,0.18466326696149263
